Date,Open,High,Low,Close,Volume
2020-04-01,38.75,38.98,36.35,36.91,3656260
2020-04-03,36.91,40.38,36.25,39.97,9295350
2020-04-07,40.86,45.41,40.63,42.17,8890610
2020-04-08,41.8,44.61,41.33,42.41,4069210
2020-04-09,43.21,44.48,42.55,44.0,2797930
2020-04-13,44.15,47.77,43.3,47.19,14804030
2020-04-15,47.62,49.69,46.91,47.34,9767380
2020-04-16,47.34,49.27,47.24,48.98,5681360
2020-04-17,49.5,56.16,49.5,55.27,19332360
2020-04-20,56.16,57.39,53.54,56.16,23616230
2020-04-21,55.55,57.48,53.87,57.06,19336140
2020-04-22,57.3,57.67,54.94,56.82,9304870
2020-04-23,57.1,57.91,55.6,57.43,10260030
2020-04-24,56.64,57.25,55.51,56.03,5153250
2020-04-27,56.08,56.69,54.38,54.94,7999140
2020-04-28,55.42,57.48,54.1,57.02,8302430
2020-04-29,57.48,59.17,57.3,58.47,22796220
2020-04-30,60.11,62.79,58.7,61.61,13036940
2020-05-04,58.23,60.59,55.65,59.17,13008600
2020-05-05,59.32,61.94,59.27,61.43,6862360
2020-05-06,61.8,62.37,59.65,60.91,10846580
2020-05-07,60.21,62.41,59.08,59.73,8386820
2020-05-08,60.67,61.19,57.76,58.14,7816590
2020-05-11,58.42,59.65,56.73,57.02,5440580
2020-05-12,56.44,56.73,54.9,56.21,9325570
2020-05-13,58.7,58.7,55.51,55.83,4836410
2020-05-14,55.83,57.86,55.23,55.6,7008260
2020-05-15,56.26,56.26,53.58,54.48,13157890
2020-05-18,54.57,54.57,52.51,53.25,8533060
2020-05-19,54.01,55.27,53.4,54.62,7095590
2020-05-20,54.57,55.42,53.87,54.29,3512660
2020-05-21,54.01,54.94,53.12,53.35,3800120
2020-05-22,53.49,54.15,51.37,51.66,7454320
2020-05-26,52.03,52.31,50.11,51.85,9482280
2020-05-27,52.59,53.68,52.31,52.74,10088350
2020-05-28,52.97,54.19,52.26,53.82,7551030
2020-05-29,53.77,54.62,50.96,51.9,5827290
2020-06-01,53.02,59.55,52.64,57.53,10581810
2020-06-02,56.92,58.66,56.41,57.76,4538310
2020-06-03,58.23,59.08,56.69,57.81,3117360
2020-06-04,57.48,58.66,56.44,57.15,1755320
2020-06-05,57.72,58.33,56.64,58.09,2709300
2020-06-08,58.7,61.24,58.0,60.95,7399880
2020-06-09,61.71,62.74,57.86,58.56,7920480
2020-06-10,58.8,60.11,58.33,58.84,3054870
2020-06-11,58.84,59.36,57.86,58.09,1141310
2020-06-12,56.82,60.3,55.51,59.83,3923790
2020-06-15,59.45,59.45,57.3,57.76,2050030
2020-06-16,58.99,59.17,56.54,57.02,3127330
2020-06-17,57.1,57.76,56.36,56.69,1554060
2020-06-18,56.64,57.67,56.49,56.69,1406660
2020-06-19,57.02,57.3,55.8,56.44,5029900
2020-06-22,56.82,56.82,55.7,56.13,3305190
2020-06-23,56.16,57.72,56.03,57.25,3343240
2020-06-24,57.58,59.08,56.59,56.97,5167280
2020-06-25,56.54,58.05,56.49,57.58,2545850
2020-06-26,57.67,58.42,56.82,57.02,1178610
2020-06-29,57.58,58.89,56.21,57.43,7611260
2020-06-30,58.19,58.99,57.62,58.42,4875760
2020-07-01,58.42,60.59,58.28,60.26,5844100
2020-07-02,60.16,61.15,59.27,59.73,3248590
2020-07-03,59.73,60.21,58.75,59.08,1265290
2020-07-06,59.17,60.01,58.7,59.45,1394660
2020-07-07,59.22,60.01,58.38,59.78,1857520
2020-07-08,59.73,63.45,58.99,62.74,11023440
2020-07-09,62.97,63.78,60.34,61.33,8600140
2020-07-10,61.48,61.57,58.56,59.55,2673520
2020-07-13,59.65,62.18,58.99,61.52,3960700
2020-07-14,61.24,61.48,58.89,59.27,2637140
2020-07-15,59.83,60.67,58.51,58.75,2436360
2020-07-16,58.94,59.6,56.92,57.3,2267670
2020-07-17,58.05,58.14,57.1,57.34,1856690
2020-07-20,57.72,57.95,56.49,56.59,2116910
2020-07-21,57.02,57.25,55.04,55.42,4132760
2020-07-22,55.23,55.8,53.73,53.91,5396750
2020-07-23,54.19,55.32,53.87,54.81,4482300
2020-07-24,54.81,55.18,53.54,54.1,3342290
2020-07-27,54.29,54.85,52.69,53.07,1208310
2020-07-28,53.45,55.04,52.36,54.15,3102600
2020-07-29,54.48,54.48,52.59,52.88,3508860
2020-07-30,53.16,53.63,52.13,52.31,3071990
2020-07-31,52.59,52.79,51.42,51.62,3211540
2020-08-03,51.95,51.95,50.58,51.57,3887960
2020-08-04,51.66,52.64,51.37,52.26,2796580
2020-08-05,52.26,53.91,52.26,53.4,5086660
2020-08-06,53.73,54.48,52.92,53.49,3869150
2020-08-07,53.58,54.85,53.25,54.57,2758370
2020-08-10,54.62,54.94,53.25,53.45,2682400
2020-08-11,53.77,54.76,52.64,54.15,3789140
2020-08-12,54.01,54.71,53.07,54.34,3335650
2020-08-13,54.66,56.82,54.1,56.08,5643010
2020-08-14,56.54,56.54,54.57,55.93,2935930
2020-08-17,56.59,56.59,55.23,55.93,1186510
2020-08-18,55.88,55.88,54.94,55.27,1206330
2020-08-19,55.27,57.3,55.23,56.92,3824000
2020-08-20,56.97,60.21,56.92,59.5,17425260
2020-08-21,59.93,60.95,59.45,59.78,6405660
2020-08-24,60.06,60.06,58.23,58.38,2483170
2020-08-25,59.27,61.61,58.42,60.95,7879690
2020-08-26,60.95,62.37,59.5,60.06,4288220
2020-08-27,60.34,60.49,59.32,59.73,1553670
2020-08-28,59.98,61.43,58.38,58.8,3582270
2020-08-31,59.27,59.69,55.6,56.41,2997390
2020-09-01,56.41,58.23,55.98,57.62,1916580
2020-09-02,57.2,58.09,56.36,57.81,1484410
2020-09-03,57.39,58.84,57.02,57.34,1255070
2020-09-04,56.36,57.91,56.26,57.2,1148530
2020-09-07,57.2,57.39,56.44,57.15,593160
2020-09-08,57.25,58.7,56.87,57.86,4749510
2020-09-09,57.81,58.7,56.82,57.62,3156980
2020-09-10,58.19,59.65,58.19,59.17,4190620
2020-09-11,59.17,60.54,57.62,58.84,3948430
2020-09-14,59.27,61.61,59.22,61.28,5004000
2020-09-15,61.9,64.52,61.38,62.79,9147880
2020-09-16,64.19,64.62,62.84,63.3,5134780
2020-09-17,63.02,63.54,60.87,61.61,2464400
2020-09-18,61.94,64.24,61.52,63.45,3817210
2020-09-21,63.87,65.75,58.23,60.82,10761720
2020-09-22,61.24,61.8,57.34,60.67,5855580
2020-09-23,61.05,61.8,58.89,60.67,2378490
2020-09-24,60.54,62.84,57.86,59.22,2517530
2020-09-25,60.34,61.52,58.7,59.45,1855870
2020-09-28,59.73,60.06,58.38,58.61,2843610
2020-09-29,58.7,59.08,57.39,58.0,3617760
2020-09-30,57.53,58.38,57.39,57.67,1389490
2020-10-01,58.61,58.61,57.3,58.14,1181850
2020-10-05,58.42,58.89,57.76,58.38,1083030
2020-10-06,58.51,58.89,57.95,58.23,885450
2020-10-07,58.23,58.42,56.82,57.2,983320
2020-10-08,57.53,57.62,55.98,56.41,1753020
2020-10-09,56.54,57.76,56.44,57.3,1035330
2020-10-12,57.02,57.3,55.42,55.75,1046190
2020-10-13,56.16,56.16,54.94,55.27,1741620
2020-10-14,54.94,55.27,54.48,54.71,1247650
2020-10-15,54.76,55.6,53.73,53.87,1039000
2020-10-16,53.73,54.66,53.45,54.19,742220
2020-10-19,54.66,55.8,52.79,53.45,2207420
2020-10-20,53.45,54.29,53.4,54.01,794520
2020-10-21,54.29,55.14,53.25,53.58,2185610
2020-10-22,53.63,54.94,53.54,54.29,2336340
2020-10-23,54.48,55.65,54.48,55.37,2488840
2020-10-26,55.51,56.82,53.91,54.15,1396340
2020-10-27,53.68,55.09,53.12,54.71,2136180
2020-10-28,54.71,54.94,53.16,53.49,994580
2020-10-29,53.63,54.15,53.07,53.49,868420
2020-10-30,53.63,55.04,52.59,52.88,1712750
2020-11-02,52.88,54.19,52.13,53.73,2169190
2020-11-03,53.91,54.38,53.16,53.35,1170540
2020-11-04,53.54,54.24,53.07,53.91,1009610
2020-11-05,54.15,54.62,53.77,54.1,1275300
2020-11-06,54.24,57.3,54.24,56.54,6407880
2020-11-09,56.82,56.92,55.27,55.98,2358240
2020-11-10,56.26,56.26,54.62,54.9,1450190
2020-11-11,55.14,55.7,54.38,54.85,1389850
2020-11-12,55.32,55.6,54.1,54.24,2066440
2020-11-13,54.24,54.99,53.82,54.62,956780
2020-11-14,54.62,55.23,54.62,55.09,200240
2020-11-17,55.23,55.23,54.38,54.71,1538740
2020-11-18,54.85,55.14,54.48,54.66,7177070
2020-11-19,54.57,55.27,54.34,54.57,1522410
2020-11-20,54.48,54.81,53.35,53.68,2227890
2020-11-23,54.01,54.19,53.63,53.96,1251450
2020-11-24,54.01,55.8,54.01,55.55,2622350
2020-11-25,55.93,56.41,54.48,54.9,3492810
2020-11-26,55.04,56.87,54.15,56.08,4912300
2020-11-27,55.6,56.54,54.24,54.62,3234150
2020-12-01,55.09,55.83,54.29,55.6,4577580
2020-12-02,55.88,56.92,55.42,56.64,11037970
2020-12-03,58.23,59.6,57.3,59.03,11647470
2020-12-04,59.55,60.11,58.51,59.08,5451430
2020-12-07,59.17,59.4,58.51,58.99,4542380
2020-12-08,59.17,59.36,57.81,58.33,2099190
2020-12-09,58.42,60.11,58.23,59.22,5145320
2020-12-10,59.55,59.55,58.05,58.19,1893970
2020-12-11,58.66,59.08,58.28,58.47,1686400
2020-12-14,58.61,59.17,58.14,58.94,1406870
2020-12-15,58.99,59.08,57.3,57.53,2782490
2020-12-16,57.81,58.19,57.58,57.76,1631400
2020-12-17,57.95,58.19,57.62,57.76,3071610
2020-12-18,57.95,58.0,56.64,57.1,1209360
2020-12-21,57.02,57.95,53.54,54.52,2402830
2020-12-22,54.81,55.32,52.69,54.05,2210130
2020-12-23,54.57,56.16,54.19,55.83,2194720
2020-12-24,56.03,57.62,55.98,56.87,2715060
2020-12-28,57.76,58.66,56.44,56.77,7146770
2020-12-29,57.43,58.23,56.64,56.82,9606880
