Date,Open,High,Low,Close,Volume
2020-04-01,129.15,131.5,127.6,129.85,8833033
2020-04-03,129.0,130.2,122.7,128.25,10937172
2020-04-07,130.6,132.55,127.7,130.45,8205546
2020-04-08,130.3,133.5,127.55,127.9,7070296
2020-04-09,129.6,131.7,128.45,131.1,5078557
2020-04-13,131.1,136.55,128.8,135.8,10691857
2020-04-15,137.25,141.15,135.9,136.7,10487978
2020-04-16,134.6,140.1,134.4,137.25,9736874
2020-04-17,141.05,141.9,138.05,138.5,7094930
2020-04-20,139.55,139.55,133.15,134.25,7139690
2020-04-21,131.25,131.85,128.25,129.4,6501383
2020-04-22,128.65,131.55,125.7,131.0,5604353
2020-04-23,131.1,134.75,130.4,131.15,7553387
2020-04-24,130.9,133.85,126.4,127.55,11701225
2020-04-27,129.4,130.05,128.0,128.55,4238903
2020-04-28,129.0,129.95,125.15,126.05,7064485
2020-04-29,126.15,131.1,126.0,130.15,7399371
2020-04-30,131.75,139.15,131.6,138.25,13146077
2020-05-04,134.7,134.7,130.65,132.45,8356131
2020-05-05,133.95,137.1,127.9,128.45,11879416
2020-05-06,129.75,129.75,123.95,124.55,10427899
2020-05-07,121.0,123.8,121.0,121.75,10860354
2020-05-08,123.65,124.0,119.65,120.1,7097561
2020-05-11,121.15,122.0,119.2,119.55,6657861
2020-05-12,119.35,120.15,116.65,118.1,8128532
2020-05-13,123.35,123.35,119.6,121.55,11135899
2020-05-14,120.85,122.4,119.2,119.75,5663229
2020-05-15,120.75,121.8,118.95,120.65,6296866
2020-05-18,118.25,118.25,112.7,113.3,24334222
2020-05-19,114.6,115.55,113.4,115.1,9537937
2020-05-20,114.5,116.5,113.45,114.75,8087994
2020-05-21,115.35,117.5,114.3,115.9,6187533
2020-05-22,115.4,117.3,113.5,116.55,7129073
2020-05-26,117.2,119.15,116.35,118.45,6183000
2020-05-27,118.45,122.3,117.25,121.75,6084266
2020-05-28,121.8,125.0,120.4,124.65,7883181
2020-05-29,124.3,132.6,123.1,131.55,16208002
2020-06-01,132.25,139.4,131.8,138.3,21205031
2020-06-02,138.85,138.85,133.15,133.5,16680118
2020-06-03,135.0,135.1,131.35,131.95,11561360
2020-06-04,131.25,132.75,129.75,130.55,6295322
2020-06-05,131.25,135.65,130.8,134.85,11872638
2020-06-08,137.75,138.65,134.75,136.55,11258936
2020-06-09,137.7,137.7,133.75,134.3,6957097
2020-06-10,134.05,134.75,130.5,131.0,8915113
2020-06-11,131.1,133.05,128.0,128.2,9259409
2020-06-12,123.9,126.2,123.55,125.35,8425506
2020-06-15,125.4,125.7,121.5,122.95,8217883
2020-06-16,125.2,125.7,120.6,122.1,7130557
2020-06-17,122.1,124.65,120.2,120.5,9072521
2020-06-18,120.1,130.05,119.3,128.1,34587382
2020-06-19,130.3,130.3,125.85,127.8,17468342
2020-06-22,127.8,134.0,127.65,133.75,19716497
2020-06-23,134.95,136.6,133.3,133.9,10955603
2020-06-24,135.65,136.35,131.05,131.8,10639900
2020-06-25,130.65,133.75,128.8,130.7,33546613
2020-06-26,131.15,133.15,130.0,132.25,8096021
2020-06-29,130.85,131.1,124.85,125.55,14576506
2020-06-30,126.9,127.7,123.2,123.65,9576074
2020-07-01,123.65,125.35,122.35,124.6,8413691
2020-07-02,124.75,125.7,123.65,124.4,7746561
2020-07-03,125.1,126.5,123.85,125.9,9093435
2020-07-06,126.85,128.0,125.9,126.45,9491956
2020-07-07,127.05,127.25,123.45,123.65,9905750
2020-07-08,123.75,125.15,122.55,123.65,12308840
2020-07-09,124.3,125.95,120.2,121.4,19348275
2020-07-10,120.55,123.1,119.35,122.15,17079042
2020-07-13,122.7,123.3,121.3,121.5,7748616
2020-07-14,121.4,121.4,119.15,119.4,7234663
2020-07-15,119.95,120.5,118.75,119.15,7037830
2020-07-16,118.95,119.15,116.0,117.4,11785672
2020-07-17,117.85,122.9,117.85,121.55,11331580
2020-07-20,124.3,125.3,122.6,123.8,16602099
2020-07-21,124.3,125.2,122.85,123.9,10375599
2020-07-22,124.5,127.25,123.6,124.8,14123442
2020-07-23,125.6,126.2,124.0,124.25,5534401
2020-07-24,123.7,123.7,121.0,122.55,8426461
2020-07-27,122.55,122.7,120.45,120.95,5361640
2020-07-28,121.1,121.7,119.65,121.45,5274400
2020-07-29,121.0,123.35,120.75,122.15,5730273
2020-07-30,122.25,122.6,119.4,119.7,5755343
2020-07-31,120.05,121.0,118.75,120.35,5310134
2020-08-03,120.9,120.9,119.25,119.5,4101652
2020-08-04,120.65,122.6,119.6,119.85,8225373
2020-08-05,120.25,121.1,119.35,119.55,6357551
2020-08-06,120.1,122.15,119.4,119.95,7905921
2020-08-07,120.55,121.35,119.65,120.8,6553630
2020-08-10,121.3,122.1,120.1,120.35,7123618
2020-08-11,121.15,121.95,120.75,121.1,5668353
2020-08-12,121.0,121.2,119.6,119.8,10656136
2020-08-13,119.85,121.15,119.4,120.05,7333041
2020-08-14,120.45,124.95,120.2,122.7,23946126
2020-08-17,124.3,127.55,123.2,126.6,23263429
2020-08-18,127.2,128.95,126.3,127.2,14887919
2020-08-19,128.0,128.45,125.15,125.8,7440433
2020-08-20,124.8,129.4,124.15,128.95,16865173
2020-08-21,129.9,132.0,129.4,129.9,18104029
2020-08-24,131.0,131.65,129.15,130.1,7621614
2020-08-25,131.1,131.25,129.6,130.75,8785149
2020-08-26,130.85,134.0,130.25,132.1,20083742
2020-08-27,132.85,133.35,130.3,130.85,9356658
2020-08-28,131.35,132.55,129.05,129.45,9056537
2020-08-31,129.65,132.3,124.65,125.05,18673288
2020-09-01,125.8,126.05,121.65,124.25,10567434
2020-09-02,126.15,128.0,125.45,126.85,16749485
2020-09-03,128.0,128.5,124.6,126.35,17375928
2020-09-04,124.8,127.0,122.3,123.3,9952601
2020-09-07,123.8,124.55,121.7,122.8,8781895
2020-09-08,122.95,123.5,120.45,120.95,7292473
2020-09-09,120.05,120.1,116.15,118.2,13115865
2020-09-10,119.15,119.4,116.85,117.9,12007586
2020-09-11,118.15,118.25,116.05,116.45,12588469
2020-09-14,117.25,118.1,115.5,116.3,12397189
2020-09-15,117.0,117.1,115.25,115.5,11541715
2020-09-16,116.0,116.0,114.6,115.3,8008458
2020-09-17,115.3,117.2,115.05,115.7,13049747
2020-09-18,116.6,116.6,114.4,115.15,14614109
2020-09-21,115.15,115.55,112.75,113.25,9573634
2020-09-22,113.55,113.55,110.65,111.3,10043181
2020-09-23,111.5,114.05,110.75,112.7,9281260
2020-09-24,112.7,112.75,107.25,107.75,15979042
2020-09-25,107.95,109.5,106.05,109.0,15988811
2020-09-28,109.8,112.95,109.8,111.7,9443818
2020-09-29,112.8,113.15,109.05,109.55,12065797
2020-09-30,108.9,109.0,106.7,107.95,14036727
2020-10-01,109.0,111.45,108.3,109.15,9963716
2020-10-05,109.8,111.25,109.45,110.2,8141488
2020-10-06,111.1,111.1,108.25,108.75,11221877
2020-10-07,109.0,109.1,106.35,106.55,11941001
2020-10-08,106.75,107.05,104.85,105.5,11663413
2020-10-09,105.55,107.9,104.55,106.95,15958362
2020-10-12,107.35,107.55,105.0,105.4,7949877
2020-10-13,105.5,106.7,104.55,106.0,9702596
2020-10-14,105.4,106.1,102.05,102.9,19663423
2020-10-15,103.2,104.9,102.0,102.95,15481821
2020-10-16,103.6,104.95,102.05,103.65,12231070
2020-10-19,104.7,107.4,103.55,106.75,18111350
2020-10-20,107.15,108.1,105.3,105.8,16554188
2020-10-21,105.8,108.8,105.7,107.15,20421826
2020-10-22,107.05,108.65,106.2,107.8,13653952
2020-10-23,108.75,110.0,108.15,109.6,11876045
2020-10-26,109.8,109.8,106.3,106.65,11243328
2020-10-27,106.3,107.2,105.05,106.1,10985481
