Date,Open,High,Low,Close,Volume
2020-04-01,267.2,270.15,249.05,254.0,1632220
2020-04-03,256.8,264.0,241.6,243.6,1920111
2020-04-07,252.0,267.95,249.9,263.35,1849999
2020-04-08,263.8,283.15,262.5,267.0,1920330
2020-04-09,268.8,307.75,268.8,299.4,5217956
2020-04-13,304.0,319.05,300.8,305.75,3556755
2020-04-15,306.0,319.05,304.5,306.85,2156220
2020-04-16,308.0,308.8,293.35,296.85,2273978
2020-04-17,310.5,315.9,296.1,301.5,2510884
2020-04-20,304.0,306.85,294.9,296.25,2442378
2020-04-21,293.85,299.15,288.9,292.6,1767778
2020-04-22,290.4,296.7,286.8,293.6,1011031
2020-04-23,293.6,298.9,290.3,294.25,684680
2020-04-24,294.4,301.3,287.6,288.9,1167686
2020-04-27,289.6,302.4,283.25,286.95,940322
2020-04-28,286.5,294.35,281.95,285.75,1539976
2020-04-29,288.0,296.1,285.8,292.9,1651168
2020-04-30,296.8,305.5,295.3,298.45,1829478
2020-05-04,295.2,296.8,273.85,278.7,1236565
2020-05-05,282.0,294.3,266.65,268.8,2280168
2020-05-06,271.2,283.2,260.7,281.15,1941019
2020-05-07,281.15,293.5,276.2,287.5,1510604
2020-05-08,286.35,293.25,285.1,287.0,983559
2020-05-11,287.2,295.5,285.35,291.95,1384551
2020-05-12,293.5,300.0,287.5,289.85,1582928
2020-05-13,299.2,307.2,292.0,304.35,2449710
2020-05-14,306.15,315.9,299.5,302.75,3192461
2020-05-15,303.15,308.7,296.95,302.7,2479302
2020-05-18,304.7,305.3,274.75,279.6,2282506
2020-05-19,284.0,291.85,278.3,280.45,3172888
2020-05-20,276.5,283.5,272.9,280.6,1778074
2020-05-21,284.0,289.6,280.25,287.25,2287772
2020-05-22,286.15,292.0,276.25,278.7,2299854
2020-05-26,280.4,284.65,274.05,280.95,943941
2020-05-27,284.0,284.4,271.45,280.1,1516378
2020-05-28,281.2,287.95,277.75,281.3,1641439
2020-05-29,281.6,309.45,276.9,300.9,6430800
2020-06-01,304.0,330.4,304.0,315.5,6478110
2020-06-02,316.9,320.8,308.95,313.25,3864138
2020-06-03,315.2,324.15,309.1,311.6,3247690
2020-06-04,312.8,317.45,308.5,312.3,2855486
2020-06-05,314.8,327.9,314.1,322.1,4144410
2020-06-08,327.2,335.95,321.05,329.25,3264628
2020-06-09,341.6,347.95,329.25,335.7,10951501
2020-06-10,336.8,338.1,326.3,328.05,2219302
2020-06-11,328.0,328.0,310.6,311.9,3194222
2020-06-12,296.0,318.0,292.1,315.65,2604625
2020-06-15,313.1,318.95,305.6,307.1,2578565
2020-06-16,309.55,314.55,298.2,302.85,4149831
2020-06-17,302.0,313.3,299.25,307.6,1918660
2020-06-18,308.0,322.5,306.45,320.4,2892568
2020-06-19,321.6,329.55,319.5,327.25,2818311
2020-06-22,328.0,334.4,324.9,332.8,1498658
2020-06-23,337.6,341.45,332.2,337.2,1952070
2020-06-24,338.7,342.9,332.1,334.2,2624385
2020-06-25,333.55,343.8,328.45,340.95,2884118
2020-06-26,343.2,351.2,338.4,347.05,2785852
2020-06-29,348.1,348.1,328.3,334.35,4105862
2020-06-30,337.5,340.0,332.8,334.3,2880174
2020-07-01,335.9,335.9,321.85,330.4,1659180
2020-07-02,335.9,339.8,328.85,337.95,1445766
2020-07-03,339.5,345.5,338.5,343.95,1154861
2020-07-06,345.1,358.55,342.5,345.2,3616795
2020-07-07,345.2,346.2,339.2,344.0,1252120
2020-07-08,345.6,357.35,334.55,348.5,4295756
2020-07-09,351.05,354.4,340.1,342.5,1987895
2020-07-10,342.0,347.1,339.05,344.1,2352324
2020-07-13,348.0,350.3,337.9,340.35,1594721
2020-07-14,338.6,341.6,334.8,338.65,1603169
2020-07-15,339.55,357.85,333.85,344.75,3262315
2020-07-16,344.75,345.6,336.2,343.9,2083686
2020-07-17,347.1,368.7,344.5,358.9,6899046
2020-07-20,377.6,379.1,354.65,357.0,9020211
2020-07-21,357.6,372.7,357.6,365.55,5472074
2020-07-22,366.1,368.0,356.9,361.3,1768694
2020-07-23,361.9,366.45,358.6,360.8,1196234
2020-07-24,360.0,361.75,354.0,358.7,999175
2020-07-27,356.5,357.85,349.25,354.5,1976991
2020-07-28,356.0,367.2,355.3,362.4,1676612
2020-07-29,364.7,371.6,357.4,360.7,1973511
2020-07-30,361.6,366.0,356.15,359.95,2285638
2020-07-31,357.6,362.8,351.7,360.9,1666264
2020-08-03,358.55,364.5,354.95,361.5,1169482
