Date,Open,High,Low,Close,Volume
2020-04-01,16.25,16.35,16.05,16.2,4152745
2020-04-03,16.05,16.35,15.9,16.0,15580189
2020-04-07,16.25,16.9,15.95,16.75,22588485
2020-04-08,16.6,17.45,16.45,16.6,15755865
2020-04-09,16.85,17.0,16.5,16.7,7453665
2020-04-13,16.6,17.0,16.35,16.75,8047436
2020-04-15,16.9,17.75,16.85,17.0,32427104
2020-04-16,16.9,17.35,16.7,17.1,11150437
2020-04-17,17.5,18.0,17.2,17.8,14755287
2020-04-20,18.0,18.15,17.5,17.65,16394585
2020-04-21,17.3,17.3,16.85,17.05,6147182
2020-04-22,17.05,17.35,16.85,17.3,4641859
2020-04-23,17.35,17.6,17.3,17.5,4963173
2020-04-24,17.5,17.5,17.0,17.15,3961639
2020-04-27,17.25,17.3,16.75,17.0,5338926
2020-04-28,17.05,17.25,16.85,17.0,2393674
2020-04-29,16.95,17.2,16.85,16.95,4722568
2020-04-30,17.2,17.6,17.0,17.1,11099466
2020-05-04,16.75,16.9,16.3,16.6,7421512
2020-05-05,16.8,16.9,16.5,16.6,10583548
2020-05-06,16.85,17.15,16.4,17.0,12438995
2020-05-07,17.0,17.5,16.8,17.25,12136082
2020-05-08,17.35,17.8,17.1,17.65,16959738
2020-05-11,17.75,18.2,17.65,17.9,10854546
2020-05-12,17.9,17.95,17.5,17.7,9785322
2020-05-13,18.2,18.45,17.7,18.1,12739460
2020-05-14,17.95,18.3,17.8,18.1,6980247
2020-05-15,18.25,18.3,18.0,18.1,6242274
2020-05-18,18.25,18.3,17.35,17.45,4767521
2020-05-19,17.45,17.65,17.2,17.25,3393661
2020-05-20,17.2,17.45,16.9,17.3,5727882
2020-05-21,17.6,17.7,17.3,17.4,5151038
2020-05-22,17.3,17.4,17.0,17.1,3241350
2020-05-26,17.1,17.4,17.0,17.25,5167392
2020-05-27,17.35,17.55,17.0,17.25,3521554
2020-05-28,17.3,18.0,17.15,17.8,6999136
2020-05-29,17.25,20.4,17.25,18.95,40784272
2020-06-01,19.25,19.7,18.9,19.05,11808455
2020-06-02,19.15,20.1,18.9,19.8,11766951
2020-06-03,20.5,20.95,19.6,19.7,14452506
2020-06-04,19.6,20.2,19.35,19.45,7341199
2020-06-05,19.6,20.45,19.6,20.15,11020016
2020-06-08,20.6,21.05,19.55,20.15,14894934
2020-06-09,20.3,21.95,19.9,21.1,31924686
2020-06-10,21.25,21.8,21.0,21.25,12756981
2020-06-11,21.25,21.6,20.5,20.75,11043785
2020-06-12,19.65,20.75,19.65,20.65,8612150
2020-06-15,20.9,21.35,20.35,20.6,10109146
2020-06-16,20.9,21.05,20.0,20.35,11434277
2020-06-17,20.25,20.55,19.85,20.0,5298036
2020-06-18,19.9,20.45,19.85,20.35,5779642
2020-06-19,20.5,21.95,20.3,21.6,29316472
2020-06-22,21.8,21.95,20.95,21.1,13710277
2020-06-23,21.25,21.8,21.05,21.65,11164248
2020-06-24,21.8,21.8,20.55,20.65,13279448
2020-06-25,20.45,20.95,20.35,20.45,10656784
2020-06-26,20.75,20.8,20.35,20.4,8138699
2020-06-29,20.35,20.65,19.9,20.05,8915558
2020-06-30,20.25,20.45,19.75,20.05,12162117
2020-07-01,20.15,20.7,19.8,20.55,12081015
2020-07-02,20.55,21.4,20.4,21.1,15010513
2020-07-03,21.3,21.65,20.75,21.5,18737330
2020-07-06,21.55,22.4,21.25,21.3,20424940
2020-07-07,21.55,21.55,20.85,21.2,11818825
2020-07-08,21.6,21.7,20.75,20.9,17307951
2020-07-09,21.0,21.2,20.55,20.65,6662816
2020-07-10,20.55,20.65,20.1,20.2,8370726
2020-07-13,20.15,20.45,19.9,19.95,7580536
2020-07-14,19.85,20.25,19.25,19.9,18688371
2020-07-15,19.7,20.1,19.3,19.55,12613745
2020-07-16,19.6,20.25,19.35,20.05,12107643
2020-07-17,20.1,20.6,19.7,19.95,21140873
2020-07-20,20.1,20.6,19.9,19.95,10990883
2020-07-21,20.1,20.2,19.8,19.9,6662117
2020-07-22,20.0,21.4,19.75,20.75,28845137
2020-07-23,20.7,22.15,20.35,21.65,23370610
2020-07-24,21.6,22.65,21.05,22.35,33162825
2020-07-27,22.1,22.35,21.25,21.55,11258805
2020-07-28,21.3,24.0,21.25,23.45,52451964
2020-07-29,23.35,24.05,22.25,22.5,28200548
2020-07-30,22.65,22.9,21.65,22.25,24203063
2020-07-31,22.9,23.1,21.45,21.75,23476616
2020-08-03,21.75,21.9,21.1,21.25,24735330
2020-08-04,21.35,21.55,20.9,21.25,11019925
2020-08-05,21.3,21.75,20.95,21.0,13666900
2020-08-06,21.0,21.25,20.65,20.85,8578554
2020-08-07,20.75,21.35,20.6,21.15,9063883
2020-08-10,21.25,21.85,21.1,21.45,8437004
2020-08-11,21.4,22.0,21.1,21.15,7188295
2020-08-12,21.2,21.6,21.0,21.45,6968609
2020-08-13,21.65,21.9,21.1,21.45,11328648
2020-08-14,21.55,21.65,20.75,20.95,9579439
2020-08-17,21.1,21.25,20.75,20.9,6095556
2020-08-18,20.95,21.4,20.8,21.25,7088513
2020-08-19,21.45,21.55,20.95,21.15,11433863
2020-08-20,21.0,22.3,21.0,22.2,22843333
2020-08-21,22.5,25.15,22.3,24.3,101880772
2020-08-24,24.6,26.15,24.6,25.3,60723086
2020-08-25,26.0,26.3,24.25,24.85,27194724
2020-08-26,25.15,26.45,24.6,25.85,39180764
2020-08-27,26.0,26.7,25.3,25.7,64007684
2020-08-28,27.8,28.25,25.4,25.75,117422995
2020-08-31,26.0,26.0,23.25,23.55,37875130
