Date,Open,High,Low,Close,Volume
2020-04-01,604.0,648.0,594.0,596.4,412778
2020-04-03,603.9,617.75,577.05,608.05,198652
2020-04-07,637.0,729.3,637.0,701.35,911748
2020-04-08,684.0,724.9,674.9,687.15,643468
2020-04-09,687.2,699.95,652.25,671.8,351053
2020-04-13,678.0,684.65,651.7,661.25,280224
2020-04-15,672.15,678.0,643.9,655.3,325354
2020-04-16,655.0,693.0,648.0,683.55,627805
2020-04-17,702.0,719.0,679.9,683.75,325474
2020-04-20,689.0,692.1,668.0,679.5,266865
2020-04-21,662.0,697.0,651.75,686.1,285651
2020-04-22,680.9,680.9,655.0,667.55,331599
2020-04-23,676.0,708.0,666.0,676.9,723388
2020-04-24,668.9,672.95,646.0,667.3,268058
2020-04-27,667.3,680.0,653.25,660.15,357192
2020-04-28,666.0,675.45,660.0,663.0,174679
2020-04-29,664.15,669.75,661.5,662.45,245434
2020-04-30,668.0,699.5,668.0,677.6,675173
2020-05-04,650.0,660.0,616.0,618.15,683268
2020-05-05,633.0,633.9,600.0,611.9,505550
2020-05-06,621.0,636.3,596.2,603.85,756292
2020-05-07,605.0,619.5,596.0,601.25,599423
2020-05-08,613.0,621.3,607.0,617.7,521458
2020-05-11,628.9,635.65,612.45,620.9,1385649
2020-05-12,620.0,625.0,610.0,621.2,515902
2020-05-13,650.0,667.6,622.0,660.05,1713892
2020-05-14,660.0,660.0,635.15,651.1,661701
2020-05-15,656.9,657.0,620.2,624.05,489119
2020-05-18,620.0,623.95,585.0,598.4,586856
2020-05-19,605.0,607.4,575.0,584.6,552751
2020-05-20,581.0,601.95,577.05,596.65,556895
2020-05-21,602.0,609.75,592.5,601.1,865432
2020-05-22,601.1,610.5,585.85,602.55,327979
2020-05-26,603.0,608.0,599.65,602.35,285056
2020-05-27,602.45,645.4,601.0,637.5,1257194
2020-05-28,643.9,667.0,636.05,653.8,819526
2020-05-29,653.0,694.5,648.0,688.4,1010111
2020-06-01,692.0,725.0,692.0,715.65,576857
2020-06-02,715.65,774.85,714.05,766.6,1500289
2020-06-03,778.0,869.65,762.45,832.25,2808422
2020-06-04,832.0,832.0,784.0,790.25,950747
2020-06-05,787.0,809.95,770.0,807.0,942354
