Date,Open,High,Low,Close,Volume
2020-04-01,433.0,433.2,408.2,413.55,8136746
2020-04-03,418.9,428.6,399.3,405.8,8166456
2020-04-07,425.0,457.95,425.0,451.15,5972948
2020-04-08,451.0,476.8,449.0,463.1,7991062
2020-04-09,480.7,481.0,462.0,469.05,5069246
2020-04-13,470.0,471.0,454.0,458.25,2236731
2020-04-15,470.0,482.0,462.7,478.75,6333192
2020-04-16,473.0,476.0,456.7,459.75,10484847
2020-04-17,470.0,475.0,453.65,455.25,4706460
2020-04-20,458.0,473.6,453.5,470.0,4801120
2020-04-21,458.0,464.95,447.85,455.7,3405204
2020-04-22,453.0,469.45,450.0,462.4,3768051
2020-04-23,465.0,480.75,462.4,477.7,3054988
2020-04-24,480.0,496.9,465.15,468.1,6738441
2020-04-27,473.1,485.7,467.25,483.1,2914600
2020-04-28,489.0,489.0,469.45,471.1,4262239
2020-04-29,474.8,501.0,470.2,491.75,3849156
2020-04-30,506.5,565.5,501.0,543.55,8035698
2020-05-04,527.5,527.5,508.2,514.25,7032553
2020-05-05,526.0,529.9,515.65,520.4,4592833
2020-05-06,512.2,526.7,506.2,519.1,6921536
2020-05-07,530.0,541.8,507.55,511.75,19998942
2020-05-08,520.85,522.5,502.4,518.4,10120968
2020-05-11,526.0,534.9,521.2,527.55,4425560
2020-05-12,525.45,540.0,520.0,527.4,6440027
2020-05-13,539.85,539.85,521.55,528.75,3503019
2020-05-14,519.4,527.55,514.35,517.45,3741679
2020-05-15,517.95,517.95,505.25,511.25,4895771
2020-05-18,514.7,518.65,507.5,510.75,5159670
2020-05-19,512.0,520.5,506.2,518.25,3967055
2020-05-20,515.05,528.65,515.0,526.75,3138733
2020-05-21,529.8,537.5,523.4,534.85,4523685
2020-05-22,533.65,535.0,523.0,530.4,6410485
2020-05-26,530.0,536.5,520.25,524.0,4055697
2020-05-27,529.7,533.9,516.0,530.95,4828848
2020-05-28,531.0,546.0,523.0,542.65,4492817
2020-05-29,540.0,555.0,536.7,550.25,7853814
2020-06-01,557.0,573.4,555.5,559.75,4503607
2020-06-02,559.3,567.75,550.0,560.2,2930073
2020-06-03,564.0,568.4,557.0,562.8,4202273
2020-06-04,565.0,583.7,559.0,578.95,5315354
2020-06-05,585.0,587.15,572.5,575.95,3995825
2020-06-08,579.15,583.5,571.05,578.25,3772143
2020-06-09,574.15,583.6,570.0,572.85,3812757
2020-06-10,575.0,587.5,573.6,578.7,6491758
2020-06-11,580.0,584.9,574.1,578.05,4975680
2020-06-12,555.2,578.7,555.2,570.75,6624056
2020-06-15,574.8,581.0,563.7,578.95,3787100
2020-06-16,585.0,593.5,578.4,580.9,4728409
2020-06-17,580.0,581.85,573.0,575.85,3572362
2020-06-18,571.2,583.8,570.1,578.95,1918329
2020-06-19,574.0,578.0,567.2,569.6,6182630
2020-06-22,575.0,576.65,565.4,569.6,2666303
2020-06-23,569.7,583.5,563.75,580.25,4522086
2020-06-24,575.0,579.8,554.4,559.6,5339903
2020-06-25,557.6,560.7,548.0,550.05,6353508
2020-06-26,550.05,573.9,545.0,562.4,7034881
2020-06-29,562.0,565.9,550.3,553.7,3857756
2020-06-30,558.0,560.8,553.25,556.85,3110587
2020-07-01,557.95,559.6,551.0,551.75,3004728
2020-07-02,555.0,572.4,552.9,569.2,5243654
2020-07-03,572.0,580.55,570.6,579.15,3735600
2020-07-06,579.15,589.0,577.25,578.7,3288423
2020-07-07,582.0,594.45,575.15,592.05,7255520
2020-07-08,594.75,594.75,573.0,574.9,4625061
2020-07-09,575.65,591.6,575.0,588.25,4807935
2020-07-10,588.25,588.55,579.85,582.25,2376908
