Date,Open,High,Low,Close,Volume
2020-04-01,431.9,431.9,410.0,414.8,29103516
2020-04-03,421.5,422.0,405.0,406.9,34998126
2020-04-07,437.0,453.6,422.7,448.0,60413252
2020-04-08,440.0,472.5,433.0,444.4,56219754
2020-04-09,456.5,465.4,445.0,462.5,44458024
2020-04-13,467.0,473.4,443.1,447.7,34158518
2020-04-15,465.2,465.2,421.5,431.6,57979046
2020-04-16,432.5,445.4,428.1,439.9,53854462
2020-04-17,457.5,460.0,443.6,455.2,55883662
2020-04-20,475.5,480.5,467.5,472.4,66233228
2020-04-21,462.5,467.0,454.0,460.8,33178296
2020-04-22,459.6,466.5,453.6,464.3,38289356
2020-04-23,467.5,479.2,456.3,477.5,40901790
2020-04-24,466.5,479.2,463.0,469.0,33285662
2020-04-27,472.6,478.7,463.2,464.8,27421454
2020-04-28,471.9,471.9,461.0,465.7,29441546
2020-04-29,467.5,496.4,467.0,488.6,55878038
2020-04-30,500.7,509.5,496.0,500.9,43795286
2020-05-04,478.8,480.0,458.8,461.5,26722354
2020-05-05,469.0,472.0,454.0,455.7,29674380
2020-05-06,459.5,475.0,452.8,473.2,33786280
2020-05-07,470.2,471.6,460.7,462.5,21832006
2020-05-08,471.0,472.0,462.6,464.5,20807494
2020-05-11,468.5,477.0,457.0,457.9,28550784
2020-05-12,450.5,454.7,435.6,450.8,49568648
2020-05-13,475.5,480.0,461.0,463.8,44347108
2020-05-14,449.0,455.5,445.0,446.8,39554890
2020-05-15,445.2,446.2,437.5,444.1,24349740
2020-05-18,444.0,444.0,415.6,418.3,46653312
2020-05-19,430.4,433.6,413.0,415.3,47461122
2020-05-20,418.2,432.0,416.1,428.6,40014826
2020-05-21,430.7,442.0,426.2,429.8,48479366
2020-05-22,425.0,435.2,416.5,419.4,42051698
2020-05-26,428.5,435.9,424.4,426.2,38005178
2020-05-27,430.0,454.9,428.6,451.8,56026454
2020-05-28,460.0,475.0,457.0,472.6,75489852
2020-05-29,472.0,477.5,461.7,475.8,53025200
2020-06-01,487.5,497.5,483.0,493.8,39190746
2020-06-02,493.4,502.5,487.6,500.5,41623818
2020-06-03,510.0,523.1,507.7,511.1,50546134
2020-06-04,514.0,519.5,495.6,500.8,54278956
2020-06-05,501.6,521.2,501.4,516.7,35196206
2020-06-08,530.0,533.3,503.2,508.0,49812724
2020-06-09,510.0,513.4,489.8,493.6,61845788
2020-06-10,495.0,499.9,489.1,495.9,36497760
2020-06-11,492.5,494.2,482.5,484.3,30898284
2020-06-12,464.0,493.3,464.0,491.4,42645760
2020-06-15,484.0,487.0,471.5,474.9,32009946
2020-06-16,487.5,497.0,476.0,495.2,45400226
2020-06-17,494.5,499.4,486.6,489.6,36959008
2020-06-18,490.0,512.4,486.0,510.0,40870938
2020-06-19,509.0,521.5,506.1,516.7,47878648
2020-06-22,519.7,523.0,511.9,514.4,29694642
2020-06-23,519.5,522.5,508.3,521.2,28831280
2020-06-24,524.2,528.8,515.0,516.2,39429328
2020-06-25,511.0,524.5,503.5,514.4,70646914
2020-06-26,520.5,531.5,514.0,528.2,39973354
2020-06-29,518.5,541.3,518.5,538.0,46007450
2020-06-30,537.0,539.3,528.2,532.9,35746632
2020-07-01,532.9,548.0,530.6,542.3,34846756
2020-07-02,545.2,555.6,542.6,544.7,36954496
2020-07-03,546.5,547.9,535.0,537.0,27597758
2020-07-06,554.0,560.0,550.0,551.5,35558486
2020-07-07,554.7,555.8,546.5,552.6,24350850
2020-07-08,553.5,562.4,552.5,555.2,30056824
