Date,Open,High,Low,Close,Volume
2020-04-01,94.95,95.4,91.0,91.65,9271055
2020-04-03,92.1,93.45,88.4,88.8,8216768
2020-04-07,92.15,106.55,90.0,103.95,23640664
2020-04-08,99.5,111.8,98.9,100.85,24227475
2020-04-09,105.0,109.0,101.85,107.55,14944332
2020-04-13,109.0,114.35,105.1,113.8,23260082
2020-04-15,120.0,124.0,113.8,115.1,45561435
2020-04-16,118.9,121.9,114.45,120.55,18972010
2020-04-17,124.0,125.7,119.1,124.15,14577305
2020-04-20,125.0,125.15,115.75,116.45,18342560
2020-04-21,113.65,113.7,105.8,107.1,22935461
2020-04-22,106.5,108.75,102.75,108.3,14420045
2020-04-23,109.0,113.3,108.35,111.25,16545796
2020-04-24,109.95,109.95,102.85,103.65,16901936
2020-04-27,106.4,109.7,105.3,108.2,18657008
2020-04-28,109.2,110.65,106.7,108.75,13489959
2020-04-29,109.0,117.65,108.3,116.3,35702266
2020-04-30,120.0,132.2,119.5,130.2,45993743
2020-05-04,121.4,123.0,114.6,115.9,22496899
2020-05-05,120.0,120.75,115.0,115.9,19405541
2020-05-06,116.0,120.7,115.5,118.6,15993883
2020-05-07,117.0,122.0,116.7,117.65,16733347
2020-05-08,122.9,123.0,115.85,117.1,21603443
2020-05-11,118.95,121.4,117.55,119.75,13916703
2020-05-12,118.9,122.25,116.4,121.1,13673763
2020-05-13,125.5,126.95,121.6,123.55,13922283
2020-05-14,119.0,120.9,117.0,117.2,12778247
2020-05-15,118.4,120.9,117.4,119.25,12510164
2020-05-18,120.55,121.0,114.3,115.35,14500151
2020-05-19,117.75,120.4,116.55,117.3,15916452
2020-05-20,117.3,121.95,116.25,120.8,8718400
2020-05-21,121.4,130.75,120.65,129.5,34325678
2020-05-22,126.5,126.5,123.6,124.85,17059557
2020-05-26,125.55,130.45,125.5,129.1,18786955
2020-05-27,130.4,134.8,130.0,133.3,32423472
2020-05-28,134.4,139.4,133.6,138.4,21951352
2020-05-29,135.95,141.15,134.6,138.85,19390844
2020-06-01,141.9,145.45,138.55,139.15,14504825
2020-06-02,140.9,143.5,138.85,141.15,12836275
2020-06-03,142.9,146.8,142.3,143.35,12470626
2020-06-04,143.3,144.65,138.35,142.65,11358324
2020-06-05,143.8,151.0,143.4,149.25,21825146
2020-06-08,155.0,155.85,145.5,146.35,16212010
2020-06-09,148.0,150.35,141.2,142.6,19223809
2020-06-10,143.9,148.0,141.8,146.95,17278403
2020-06-11,145.9,147.45,142.45,144.4,12532830
2020-06-12,138.0,146.85,136.2,146.05,15804922
2020-06-15,149.05,152.35,143.75,145.8,34911162
2020-06-16,149.9,154.6,146.9,150.1,28477572
2020-06-17,149.7,152.1,147.2,148.0,13573299
2020-06-18,148.45,151.4,147.3,150.8,9858458
2020-06-19,152.35,152.35,148.5,151.05,14631329
2020-06-22,150.9,151.45,149.0,150.1,8037341
2020-06-23,152.9,159.5,150.6,158.35,22570976
2020-06-24,159.4,160.1,150.45,151.4,15918298
2020-06-25,149.0,152.3,144.6,146.6,18500713
2020-06-26,149.0,152.0,148.2,151.05,12107609
2020-06-29,149.45,149.45,143.3,145.85,13110762
2020-06-30,148.0,151.6,145.2,146.2,14655359
2020-07-01,147.5,148.85,144.5,147.55,8255408
2020-07-02,148.9,150.3,146.75,147.75,9519998
2020-07-03,148.6,149.45,144.55,146.4,10780269
2020-07-06,147.8,155.15,147.1,154.35,24254507
2020-07-07,155.0,156.9,151.8,152.3,13160147
2020-07-08,152.75,158.0,152.4,155.0,18306904
2020-07-09,157.0,166.45,156.9,164.8,45180721
2020-07-10,163.7,164.5,160.35,163.7,16256682
2020-07-13,165.3,170.5,164.1,169.25,21894781
2020-07-14,167.7,168.7,161.95,163.8,16396527
2020-07-15,166.35,168.5,164.5,165.4,11233336
2020-07-16,164.9,166.8,161.05,166.05,12768487
2020-07-17,166.5,169.1,161.15,162.15,14372019
2020-07-20,162.2,162.95,159.65,160.9,14067880
2020-07-21,162.85,163.0,157.55,160.0,13098794
2020-07-22,160.55,163.9,157.4,159.9,17455793
2020-07-23,160.7,162.45,159.7,162.0,8258361
2020-07-24,159.95,160.95,154.3,156.2,15793429
2020-07-27,157.0,159.8,154.6,158.2,12745526
2020-07-28,158.55,165.25,158.55,164.7,15539141
2020-07-29,164.3,168.5,163.3,164.05,15846640
2020-07-30,164.95,165.7,160.0,162.0,8980592
2020-07-31,161.9,164.5,159.6,163.1,9872796
2020-08-03,163.1,167.5,160.75,161.35,16525231
2020-08-04,162.0,164.6,160.75,162.35,13653474
2020-08-05,163.9,177.4,163.5,175.75,47894902
2020-08-06,178.0,178.9,174.2,178.0,23198187
2020-08-07,176.45,179.0,175.35,177.6,10117776
2020-08-10,176.9,179.0,174.4,178.6,9379771
2020-08-11,180.0,186.6,178.0,178.95,30405570
2020-08-12,177.35,177.35,172.7,175.8,17437082
2020-08-13,178.0,184.6,178.0,183.55,26526487
2020-08-14,184.35,189.45,180.6,184.95,28520588
2020-08-17,185.15,193.45,184.25,192.55,25968794
2020-08-18,193.2,197.25,192.05,196.0,20401537
2020-08-19,196.85,197.65,194.3,196.8,16328384
2020-08-20,193.05,202.35,192.45,199.0,28492195
2020-08-21,201.75,203.15,195.35,196.25,18333749
2020-08-24,197.45,197.8,192.45,193.3,10628935
2020-08-25,195.4,196.4,190.05,191.3,13440054
2020-08-26,192.0,195.0,191.25,193.5,8427750
2020-08-27,193.5,195.65,192.6,194.9,7659883
2020-08-28,195.1,196.15,193.0,193.8,8153155
2020-08-31,195.0,197.0,184.25,185.25,17662267
2020-09-01,185.2,195.45,185.0,194.05,24334798
2020-09-02,194.0,196.9,192.55,196.2,11184434
2020-09-03,196.15,196.15,191.55,192.0,11311035
2020-09-04,188.05,194.0,184.85,188.3,16805286
2020-09-07,188.3,191.5,186.6,187.5,6839485
2020-09-08,188.2,188.2,179.55,180.25,9202591
