Date,Open,High,Low,Close,Volume
2020-04-01,3.1,3.15,3.0,3.05,178196632
2020-04-03,3.05,3.25,3.0,3.15,186975449
2020-04-07,3.25,3.3,3.15,3.2,127011743
2020-04-08,3.2,3.25,3.15,3.2,139887129
2020-04-09,3.25,3.3,3.2,3.3,116620028
2020-04-13,3.3,4.25,3.3,4.1,804238144
2020-04-15,4.45,4.9,4.0,4.25,709334485
2020-04-16,4.5,4.65,4.15,4.25,403258814
2020-04-17,4.35,4.4,3.85,4.1,536920091
2020-04-20,4.1,4.2,3.8,3.9,274060091
2020-04-21,3.75,3.85,3.6,3.7,251820879
2020-04-22,3.9,4.05,3.7,3.95,437808471
2020-04-23,4.3,4.5,4.15,4.35,691062053
2020-04-24,4.25,4.25,3.95,4.0,321638498
2020-04-27,4.0,4.2,4.0,4.1,250387616
2020-04-28,4.2,4.2,3.95,4.0,303932126
2020-04-29,4.05,4.3,3.9,4.2,346354104
2020-04-30,4.35,4.4,4.1,4.2,307549428
2020-05-04,4.05,4.35,3.9,4.15,445019393
2020-05-05,4.25,4.3,4.1,4.15,184933906
2020-05-06,4.1,4.4,4.05,4.25,434231303
2020-05-07,4.2,4.3,4.1,4.15,160739891
2020-05-08,4.2,4.3,4.15,4.2,172146612
2020-05-11,4.25,4.8,4.2,4.6,924544627
2020-05-12,4.65,5.0,4.5,4.95,587165672
2020-05-13,5.35,5.35,4.8,4.9,443686122
2020-05-14,4.8,5.0,4.7,4.75,251907250
2020-05-15,4.75,5.0,4.55,4.85,232136882
2020-05-18,4.95,5.1,4.6,4.65,349608026
2020-05-19,4.85,5.65,4.65,5.45,883245979
2020-05-20,5.65,5.95,5.5,5.65,504613882
2020-05-21,5.65,5.85,5.35,5.55,400537420
2020-05-22,5.5,5.7,5.35,5.5,350548515
2020-05-26,5.55,5.75,5.5,5.6,254718763
2020-05-27,5.65,5.7,5.55,5.65,196633182
2020-05-28,5.7,6.05,5.65,5.8,498614343
2020-05-29,6.35,7.8,6.35,6.55,2399245304
2020-06-01,6.45,6.9,6.0,6.55,504571619
2020-06-02,6.65,7.85,6.6,7.7,940728591
2020-06-03,8.0,8.85,7.8,8.1,963778860
2020-06-04,8.2,8.9,8.0,8.6,870350705
2020-06-05,9.2,10.75,9.0,10.5,1796740666
2020-06-08,11.55,12.6,11.2,12.0,1949862202
2020-06-09,12.35,12.35,9.0,10.05,1559424903
2020-06-10,9.7,11.0,9.1,10.85,1095418897
2020-06-11,11.1,11.45,9.15,9.4,2241750409
2020-06-12,8.5,10.3,8.0,10.15,1502759376
2020-06-15,10.8,10.8,9.9,10.15,860080855
2020-06-16,10.3,10.4,9.2,9.75,808122224
2020-06-17,9.35,10.0,9.35,9.85,450379987
2020-06-18,9.85,10.35,9.05,9.75,994944935
2020-06-19,9.75,9.9,9.05,9.15,542600491
2020-06-22,9.2,10.5,9.05,10.1,1199335054
2020-06-23,10.1,10.5,10.0,10.25,442667414
2020-06-24,10.35,10.4,9.5,9.8,524339404
2020-06-25,9.4,10.1,9.25,9.85,595263920
2020-06-26,9.8,10.75,9.75,10.4,1093738838
2020-06-29,10.6,11.25,10.1,11.1,994290916
2020-06-30,11.45,11.45,10.5,10.6,885397430
2020-07-01,10.4,10.75,10.05,10.15,434164889
2020-07-02,10.2,10.45,9.75,10.05,369250291
2020-07-03,10.1,10.25,9.85,10.0,262034228
2020-07-06,10.1,10.1,9.75,9.8,231239132
2020-07-07,9.8,9.85,9.45,9.55,241560882
2020-07-08,9.6,9.9,9.1,9.3,451510804
2020-07-09,9.25,9.5,9.0,9.35,360689438
2020-07-10,9.2,9.9,8.75,9.75,924543604
2020-07-13,10.0,10.1,9.5,9.75,378800062
2020-07-14,9.65,9.7,9.3,9.35,278387341
2020-07-15,9.2,9.35,8.45,8.65,476000600
2020-07-16,8.65,8.7,7.0,7.85,990881582
2020-07-17,7.6,9.0,7.45,8.9,764117778
2020-07-20,9.4,9.7,8.25,9.1,1034536973
2020-07-21,8.95,8.95,8.15,8.3,644550188
2020-07-22,8.45,9.05,8.35,8.55,505621621
2020-07-23,8.9,8.9,8.5,8.6,232041998
2020-07-24,8.4,8.55,8.1,8.4,242282991
2020-07-27,8.2,8.45,8.0,8.05,177640255
2020-07-28,8.05,8.15,7.8,8.05,189221016
2020-07-29,8.0,8.65,7.85,8.25,359502699
2020-07-30,8.25,8.5,7.95,8.0,293160439
2020-07-31,8.1,8.5,8.1,8.4,340468514
2020-08-03,8.4,8.85,8.0,8.7,422275259
2020-08-04,8.7,8.95,8.5,8.65,328585847
2020-08-05,8.6,8.75,8.15,8.3,289463946
2020-08-06,8.3,8.5,8.15,8.25,177570411
2020-08-07,7.9,8.95,7.6,8.85,687114245
2020-08-10,9.0,9.2,8.8,9.1,418346262
2020-08-11,8.9,8.95,8.65,8.7,161161541
2020-08-12,8.6,9.05,8.55,8.85,160030301
2020-08-13,8.95,9.15,8.8,9.05,182552196
2020-08-14,9.0,9.35,8.7,8.95,332565944
2020-08-17,9.05,9.15,8.85,8.95,108173393
2020-08-18,8.95,9.0,8.7,8.85,179570699
2020-08-19,8.75,8.9,8.6,8.7,140562489
2020-08-20,8.6,8.8,8.45,8.5,152596470
2020-08-21,8.6,8.7,8.45,8.5,101588516
2020-08-24,8.65,9.25,8.4,9.1,532091682
2020-08-25,9.15,9.25,8.9,9.0,157251782
2020-08-26,9.0,9.05,8.85,8.9,91976400
2020-08-27,8.9,9.0,8.7,8.85,209578041
2020-08-28,8.95,10.45,8.9,10.1,1288276832
2020-08-31,10.5,11.1,9.6,10.2,687028779
2020-09-01,10.8,10.95,7.65,8.85,1754522984
2020-09-02,9.3,10.15,9.2,9.9,560091130
2020-09-03,10.5,12.85,10.45,12.55,1561842483
2020-09-04,11.3,13.5,11.3,12.05,1630569044
2020-09-07,13.25,13.25,11.95,12.3,1369796857
2020-09-08,12.5,12.6,11.15,11.3,504504829
2020-09-09,10.95,11.25,10.55,11.1,388940425
2020-09-10,11.3,11.55,11.0,11.4,358370645
2020-09-11,11.4,11.4,10.9,11.15,223836572
2020-09-14,11.35,11.85,11.05,11.55,381319435
2020-09-15,11.85,12.25,11.65,11.75,742507324
