Date,Open,High,Low,Close,Volume
2020-04-01,197.5,197.5,188.5,195.3,5940220
2020-04-03,191.6,205.0,190.05,203.35,9027874
2020-04-07,207.6,221.5,207.1,217.9,6906086
2020-04-08,220.0,230.0,214.5,217.8,6878298
2020-04-09,220.5,232.45,219.0,229.3,6298834
2020-04-13,225.5,232.5,222.6,230.0,6149274
2020-04-15,231.5,233.0,223.4,226.7,9270464
2020-04-16,225.0,237.2,224.0,232.3,8022952
2020-04-17,235.0,240.3,228.6,230.1,7839604
2020-04-20,231.0,237.5,225.5,232.2,6190682
2020-04-21,230.75,231.1,224.2,226.8,3362928
2020-04-22,225.0,225.9,217.7,223.3,7040162
2020-04-23,223.75,230.1,223.75,225.4,3887712
2020-04-24,223.0,227.85,215.0,218.6,8166812
2020-04-27,222.6,227.0,221.25,223.8,4408638
2020-04-28,224.95,235.0,222.5,233.4,7972664
2020-04-29,235.5,240.2,235.4,238.0,6033356
2020-04-30,240.5,242.5,235.3,238.3,4846472
2020-05-04,231.5,239.4,229.35,234.85,7036222
2020-05-05,238.9,238.9,230.8,231.8,3930492
2020-05-06,232.45,238.95,229.8,234.05,6335922
2020-05-07,233.5,237.6,231.5,234.2,3128538
2020-05-08,238.5,238.5,234.2,236.15,3649852
2020-05-11,238.0,250.0,236.0,248.0,11923492
2020-05-12,247.6,247.6,238.7,240.5,5826822
2020-05-13,244.5,244.5,234.7,236.5,5023818
2020-05-14,234.0,239.55,230.2,230.85,4609738
2020-05-15,233.2,233.75,225.8,228.3,5699514
2020-05-18,229.5,232.3,219.8,222.75,4432488
2020-05-19,227.35,229.9,222.8,225.5,7063628
2020-05-20,227.5,230.4,225.6,227.05,4120168
2020-05-21,228.95,232.3,224.2,225.4,4395990
2020-05-22,225.45,227.75,221.4,225.3,4375290
2020-05-26,227.9,236.1,225.55,235.0,7305652
2020-05-27,237.3,238.9,226.3,228.2,6025374
2020-05-28,229.5,236.5,228.3,235.4,4641388
2020-05-29,236.25,247.3,229.5,236.05,59936842
2020-06-01,233.5,239.4,231.0,235.3,7652938
2020-06-02,239.25,240.0,235.1,236.4,4453366
2020-06-03,237.3,248.85,237.25,244.85,8988394
2020-06-04,247.3,260.0,246.0,252.4,20120526
2020-06-05,253.0,253.95,242.5,244.4,9200224
2020-06-08,247.75,248.35,234.6,236.45,10719798
2020-06-09,238.5,241.25,229.6,231.7,9877128
2020-06-10,232.1,235.95,230.6,233.0,5225132
