Date,Open,High,Low,Close,Volume
2020-04-01,160.0,160.5,150.5,155.1,3210493
2020-04-03,158.0,161.6,154.2,156.4,8125477
2020-04-07,164.2,164.5,157.1,159.65,7789053
2020-04-08,161.1,170.4,158.05,166.4,8193132
2020-04-09,171.0,175.25,169.0,173.9,3777305
2020-04-13,173.2,179.35,171.45,177.5,3315057
2020-04-15,180.05,181.0,172.1,173.8,4525878
2020-04-16,171.0,175.7,165.45,171.5,6471943
2020-04-17,175.0,175.9,166.9,168.3,4417192
2020-04-20,168.9,170.0,158.4,159.3,6007560
2020-04-21,159.3,165.0,156.0,163.05,7392996
2020-04-22,164.0,168.4,164.0,167.55,5550913
2020-04-23,169.0,174.55,166.0,166.1,5745054
2020-04-24,169.0,172.9,149.5,152.0,19437319
2020-04-27,154.0,160.5,154.0,157.4,7030396
2020-04-28,160.0,160.85,155.0,159.4,4152709
2020-04-29,160.05,163.95,157.05,163.0,3332616
2020-04-30,163.0,175.8,162.15,174.4,5671218
2020-05-04,164.0,171.75,162.9,168.5,3535528
2020-05-05,168.0,183.8,164.75,170.6,20706226
2020-05-06,171.0,174.0,159.5,160.9,10677481
2020-05-07,159.0,174.4,156.6,172.8,18270937
2020-05-08,173.0,176.5,167.4,174.25,13660992
2020-05-11,174.25,187.7,173.0,183.6,7607676
2020-05-12,185.0,192.6,178.45,189.6,13981599
2020-05-13,195.35,199.0,191.55,196.15,8788087
2020-05-14,190.0,213.6,189.7,209.65,24091409
2020-05-15,205.95,207.45,200.7,202.5,11910823
2020-05-18,205.0,210.0,201.1,207.1,15523354
2020-05-19,212.0,220.8,206.0,218.75,15351228
2020-05-20,213.1,217.45,196.0,200.85,22326973
2020-05-21,204.0,209.65,204.0,205.85,13460820
2020-05-22,202.0,212.55,200.05,207.5,10697684
2020-05-26,207.9,214.0,203.25,208.15,9468767
2020-05-27,208.5,218.5,208.05,216.7,6741962
2020-05-28,214.1,225.3,213.9,223.85,6682224
2020-05-29,225.45,242.5,224.3,229.95,24854772
2020-06-01,231.0,237.5,222.05,224.25,13153165
2020-06-02,228.85,229.95,222.15,223.25,8444140
2020-06-03,228.0,228.0,216.1,219.0,11730551
2020-06-04,218.1,224.0,213.9,218.9,6951640
2020-06-05,226.85,239.7,223.0,236.25,18569728
2020-06-08,238.15,241.0,228.55,230.2,10230414
2020-06-09,231.05,240.5,225.45,233.0,10201879
2020-06-10,233.0,240.75,229.55,232.7,10678235
2020-06-11,231.9,237.45,207.1,210.8,21458242
2020-06-12,206.75,227.0,200.0,225.0,26283926
2020-06-15,226.0,228.8,217.6,222.9,8173146
2020-06-16,228.3,228.95,214.6,216.0,8074124
2020-06-17,216.8,216.8,205.05,206.25,14019765
2020-06-18,208.95,214.0,205.5,209.3,14171896
2020-06-19,212.3,220.0,209.05,218.85,13088339
2020-06-22,221.0,227.9,218.35,222.85,8368814
2020-06-23,227.7,233.4,224.2,232.35,10533922
2020-06-24,233.0,237.5,227.4,233.05,10264786
2020-06-25,222.0,232.4,218.0,228.45,15312037
2020-06-26,223.6,231.5,218.2,220.6,10084789
2020-06-29,222.0,225.0,211.0,219.25,12753382
2020-06-30,224.6,224.6,218.65,221.5,7163522
2020-07-01,223.0,223.0,216.5,218.65,5347618
2020-07-02,219.5,222.95,218.25,222.35,3395755
2020-07-03,222.35,228.5,221.15,226.7,5944142
2020-07-06,226.75,228.6,223.65,226.4,3957890
2020-07-07,224.8,225.0,218.55,222.9,7083884
2020-07-08,221.5,224.6,218.5,219.35,4202411
2020-07-09,219.35,219.8,212.6,214.55,7166209
2020-07-10,215.35,215.95,206.15,209.05,10692696
2020-07-13,209.1,212.75,208.05,211.7,5091903
2020-07-14,210.25,215.4,207.55,208.8,13666354
2020-07-15,211.0,212.4,202.75,203.95,5783336
2020-07-16,204.8,206.4,188.8,190.0,14365854
2020-07-17,192.0,200.75,191.0,198.1,18601632
2020-07-20,202.0,209.0,193.45,203.15,17125518
2020-07-21,205.0,205.0,197.6,198.85,9051288
2020-07-22,199.5,203.9,198.25,200.55,6969711
2020-07-23,201.95,201.95,198.5,200.7,5413322
2020-07-24,200.0,200.0,192.3,195.7,8329780
2020-07-27,197.15,197.25,191.0,194.25,5531292
2020-07-28,195.0,195.05,187.75,190.5,9381139
2020-07-29,191.7,199.25,189.8,196.5,9332794
2020-07-30,198.0,199.9,191.5,192.5,6054871
2020-07-31,194.8,196.3,188.55,192.1,4724546
2020-08-03,192.1,194.75,188.0,189.2,4801462
2020-08-04,191.0,193.15,189.75,191.35,3522446
2020-08-05,192.7,193.5,189.35,191.05,4015743
2020-08-06,192.0,196.75,190.55,191.55,5503299
2020-08-07,192.0,193.8,188.0,192.6,7975014
2020-08-10,194.0,198.15,191.9,197.0,6383298
2020-08-11,198.4,199.0,192.25,194.3,4707552
2020-08-12,192.5,196.4,192.0,194.65,4054729
2020-08-13,195.05,202.0,193.6,201.4,6355939
2020-08-14,202.9,205.5,197.75,199.25,7999978
2020-08-17,199.0,202.0,196.8,199.85,2504404
2020-08-18,201.3,203.9,198.0,200.55,3513516
2020-08-19,201.0,203.85,200.5,201.3,2536386
2020-08-20,200.0,201.3,196.85,199.25,4687064
2020-08-21,200.35,201.35,197.5,199.5,4679498
2020-08-24,200.0,201.3,193.2,199.5,6643683
2020-08-25,199.5,201.0,196.1,198.25,4470846
2020-08-26,199.0,203.2,196.8,200.5,4470838
2020-08-27,202.0,202.6,198.25,199.9,3085330
2020-08-28,200.0,213.75,199.5,201.5,23667550
2020-08-31,206.0,211.6,194.25,198.55,21933653
2020-09-01,205.7,208.8,178.7,188.8,33234915
2020-09-02,192.55,198.45,191.8,196.05,15354232
2020-09-03,197.85,221.4,197.15,218.5,49549273
2020-09-04,214.0,230.8,207.5,214.85,69139082
2020-09-07,217.0,235.45,216.75,231.0,54729401
2020-09-08,228.45,228.45,211.2,213.0,29212396
2020-09-09,211.45,213.4,205.75,210.45,18035749
2020-09-10,213.85,214.0,197.9,199.95,18249232
2020-09-11,202.0,208.7,200.8,201.85,24662340
2020-09-14,204.95,206.1,199.35,202.6,11630324
2020-09-15,204.75,204.75,200.35,202.5,6305197
2020-09-16,202.7,204.45,199.0,200.15,6081332
2020-09-17,200.2,201.0,195.55,196.4,6631613
2020-09-18,198.0,200.75,195.3,199.35,7756023
2020-09-21,199.2,199.2,186.7,188.75,7804296
2020-09-22,190.0,192.6,179.35,180.4,11769233
2020-09-23,180.75,183.0,162.5,166.95,18969079
2020-09-24,165.0,175.65,162.2,169.1,53514431
2020-09-25,175.55,184.8,171.0,182.8,23941102
2020-09-28,183.5,187.5,181.4,185.9,8761218
2020-09-29,185.9,186.3,177.25,178.75,11590092
2020-09-30,180.0,180.0,173.65,175.3,13029531
2020-10-01,175.45,182.3,175.45,178.95,8533545
2020-10-05,180.0,182.9,176.55,178.55,6494646
2020-10-06,180.55,183.3,178.65,181.8,4324658
2020-10-07,182.0,188.1,181.35,185.3,12604960
2020-10-08,186.85,191.8,184.55,191.0,8718600
2020-10-09,191.0,192.9,184.8,186.5,6548750
2020-10-12,186.6,192.9,186.0,189.0,8613164
2020-10-13,187.95,187.95,180.0,181.85,7547442
2020-10-14,182.55,192.0,181.95,189.55,11990842
2020-10-15,189.5,195.0,177.5,180.9,13178839
2020-10-16,183.6,184.45,178.2,182.55,5403871
2020-10-19,183.95,184.95,179.15,181.1,3655373
2020-10-20,181.5,191.0,181.3,190.05,11755738
2020-10-21,190.0,193.7,188.4,192.75,5951073
