Date,Open,High,Low,Close,Volume
2020-04-01,290.0,297.35,273.2,276.6,5650760
2020-04-03,277.0,278.95,253.0,259.55,6753275
2020-04-07,270.0,285.5,262.2,282.05,5911410
2020-04-08,278.4,291.2,273.4,281.35,4936185
2020-04-09,283.6,290.0,280.0,284.5,2908620
2020-04-13,282.0,283.4,263.0,276.3,6051985
2020-04-15,278.0,295.0,270.2,284.3,9690040
2020-04-16,280.0,305.3,277.3,299.85,11076215
2020-04-17,310.0,321.85,303.65,309.6,9498070
2020-04-20,306.0,316.8,301.7,303.8,8120170
2020-04-21,298.0,305.8,293.6,301.0,5738915
2020-04-22,300.0,307.0,297.05,302.35,4665840
2020-04-23,302.35,319.7,297.15,299.4,8577980
2020-04-24,296.8,298.95,288.9,295.75,6852425
2020-04-27,296.0,303.75,293.3,296.95,8473110
2020-04-28,297.6,309.6,297.6,304.3,6595780
2020-04-29,305.2,313.95,305.2,310.7,4952315
2020-04-30,315.2,329.4,315.2,321.7,8529885
2020-05-04,310.0,315.05,304.0,309.6,3985790
2020-05-05,311.0,316.35,299.65,303.0,4711975
2020-05-06,301.4,312.8,298.9,311.4,6915310
2020-05-07,308.45,315.25,305.0,308.9,3660425
2020-05-08,312.0,321.6,309.4,313.35,5641040
2020-05-11,315.4,321.3,313.0,313.9,4137940
2020-05-12,315.0,321.35,308.2,318.7,4335505
2020-05-13,332.6,346.9,324.2,339.8,9483260
2020-05-14,332.2,343.0,330.5,337.95,6993815
2020-05-15,337.8,338.8,328.5,333.25,5088480
2020-05-18,332.6,337.6,306.0,310.0,9485235
2020-05-19,310.0,316.95,298.6,301.35,9125390
2020-05-20,302.0,308.05,297.2,304.3,7991235
2020-05-21,315.0,323.0,309.0,314.0,17053710
2020-05-22,313.55,327.7,311.0,324.05,12158155
2020-05-26,324.45,347.35,324.45,340.8,13036815
2020-05-27,337.85,340.0,330.05,337.85,5616460
2020-05-28,336.45,345.0,336.35,337.9,7996015
2020-05-29,337.0,347.8,322.2,331.3,58254230
2020-06-01,333.0,340.1,332.0,335.2,6989490
2020-06-02,333.4,342.7,330.45,340.15,6860920
2020-06-03,343.0,354.2,335.0,337.45,8830650
2020-06-04,338.0,341.55,331.4,336.7,5501950
2020-06-05,337.6,342.0,327.0,337.1,5873810
2020-06-08,338.0,343.9,334.2,335.7,4855490
2020-06-09,336.0,341.6,328.7,333.35,4642660
2020-06-10,335.6,343.0,334.6,341.3,4520100
2020-06-11,341.3,343.6,334.0,336.3,4194330
2020-06-12,326.0,349.7,325.0,347.45,8705855
2020-06-15,346.0,349.05,338.05,339.55,4897210
2020-06-16,346.0,348.4,333.0,338.6,4866065
2020-06-17,338.2,338.6,330.2,332.05,4685030
2020-06-18,329.0,335.0,328.25,332.95,2945215
2020-06-19,336.2,342.65,334.15,337.8,3873250
2020-06-22,338.4,342.25,335.6,336.4,1761230
2020-06-23,339.0,352.75,334.05,350.95,5378215
2020-06-24,354.15,363.6,350.2,353.55,6341445
2020-06-25,349.0,361.1,347.55,356.6,4006290
2020-06-26,357.4,360.3,350.2,353.95,2481885
2020-06-29,351.95,353.6,348.25,349.8,1879725
2020-06-30,353.0,354.85,343.8,345.45,1966205
2020-07-01,346.0,349.0,338.0,339.4,2920785
2020-07-02,341.05,346.8,340.3,345.15,2138525
2020-07-03,347.0,351.0,345.8,347.4,1839480
2020-07-06,349.6,350.0,343.35,347.3,1713535
2020-07-07,346.0,361.8,344.0,349.15,6186520
2020-07-08,352.0,352.0,333.2,338.45,2981805
2020-07-09,340.0,340.8,332.7,337.1,3475655
2020-07-10,335.4,336.5,322.6,324.1,5719855
2020-07-13,327.6,329.8,319.2,326.95,4936315
2020-07-14,325.75,333.1,323.75,330.45,4718410
2020-07-15,333.0,346.4,332.85,344.15,7325360
2020-07-16,344.15,346.9,334.65,338.55,3009885
2020-07-17,339.6,352.25,336.2,351.05,5079730
2020-07-20,351.0,356.6,348.25,350.35,2761745
2020-07-21,351.6,356.4,345.8,348.9,3581455
2020-07-22,349.0,349.95,334.6,339.95,5135720
2020-07-23,339.95,350.95,339.05,348.85,3678480
2020-07-24,345.0,350.4,342.0,345.15,2927520
2020-07-27,345.15,346.0,331.05,337.3,3331610
2020-07-28,337.6,340.35,333.1,339.15,3219975
2020-07-29,339.05,343.2,335.0,336.75,2753730
2020-07-30,337.0,356.35,337.0,354.05,8210825
2020-07-31,354.0,362.35,342.8,344.1,6591755
2020-08-03,344.0,359.0,344.0,347.75,5447675
2020-08-04,349.75,364.6,349.6,361.3,9894645
2020-08-05,364.35,375.4,362.5,372.3,9976800
2020-08-06,372.8,377.3,368.45,375.6,6675955
2020-08-07,377.8,379.2,372.2,374.45,4844755
2020-08-10,376.0,383.4,372.35,376.15,6728655
2020-08-11,378.0,380.4,373.2,376.7,2577025
2020-08-12,376.6,383.75,371.0,372.85,4275915
2020-08-13,374.7,382.0,373.2,378.65,4194310
2020-08-14,380.55,383.6,372.8,373.95,2797310
2020-08-17,377.45,378.9,368.8,377.45,2512670
2020-08-18,374.3,389.8,374.3,383.15,7083935
2020-08-19,383.6,391.0,383.55,388.4,2621570
2020-08-20,382.45,396.0,382.45,393.55,4039855
2020-08-21,396.4,400.2,392.8,395.6,3752100
2020-08-24,395.6,427.55,395.0,424.75,19423760
2020-08-25,426.0,426.9,412.6,421.35,7227505
2020-08-26,421.0,429.6,413.9,415.4,6048795
2020-08-27,416.0,443.0,414.6,433.6,9737755
2020-08-28,434.0,436.8,426.4,433.6,6244425
2020-08-31,432.0,434.2,415.2,419.4,7481350
2020-09-01,420.0,437.85,419.4,429.8,6116365
2020-09-02,427.0,457.25,420.45,450.15,15580430
2020-09-03,448.75,461.8,442.05,458.1,9684900
2020-09-04,446.0,459.4,445.0,449.3,4811440
2020-09-07,449.0,454.45,443.15,446.75,4453045
2020-09-08,449.8,460.0,445.95,454.75,6149190
2020-09-09,451.65,457.2,443.15,445.15,5300245
2020-09-10,451.15,461.8,448.2,453.0,6612450
2020-09-11,453.5,475.6,453.4,465.45,15407705
2020-09-14,471.6,473.6,464.8,469.45,3863645
2020-09-15,470.6,478.9,469.6,472.65,4277890
2020-09-16,472.65,477.9,469.0,476.55,2396950
2020-09-17,475.6,482.95,472.0,481.55,3472790
2020-09-18,481.55,484.7,469.5,472.15,4042010
2020-09-21,471.55,472.8,458.0,462.0,3212785
2020-09-22,462.0,464.0,452.9,461.4,3070155
2020-09-23,462.0,469.85,458.2,463.1,3797345
2020-09-24,462.8,463.0,447.6,452.3,4094630
2020-09-25,458.4,465.6,453.6,462.85,2881215
2020-09-28,467.2,491.55,464.6,484.4,6450520
2020-09-29,488.5,489.25,473.45,474.4,3731495
2020-09-30,474.0,487.9,467.65,468.85,5275280
2020-10-01,475.0,478.65,469.2,473.25,1899405
2020-10-05,473.0,479.7,469.4,475.4,1864845
2020-10-06,475.5,483.75,462.9,465.65,4001105
2020-10-07,465.95,471.0,461.0,469.45,2867945
2020-10-08,471.6,474.2,461.0,465.9,2321085
2020-10-09,467.05,469.0,458.65,460.4,1747795
2020-10-12,458.8,462.8,452.25,455.8,3357250
2020-10-13,453.0,462.6,453.0,455.7,2145580
2020-10-14,455.0,465.1,453.35,463.0,4000750
2020-10-15,465.9,471.6,458.0,459.45,4204895
2020-10-16,460.6,465.0,453.4,463.75,2476895
2020-10-19,464.2,465.5,447.3,449.6,3014355
2020-10-20,448.85,460.75,445.4,458.05,2771745
2020-10-21,459.1,460.8,446.65,452.75,1979390
2020-10-22,451.55,451.6,435.0,437.45,4012840
2020-10-23,440.95,447.55,437.5,444.0,2530665
2020-10-26,445.4,446.5,427.05,432.85,2428450
2020-10-27,431.3,437.25,428.0,434.9,2706535
2020-10-28,434.9,444.5,432.15,435.9,3742070
2020-10-29,433.8,450.0,430.05,444.35,2431225
2020-10-30,444.6,447.85,432.4,434.95,1886115
2020-11-02,434.1,437.95,420.05,433.4,2676720
2020-11-03,435.15,436.3,420.85,431.1,2890295
2020-11-04,431.6,439.0,425.8,433.8,2291215
2020-11-05,436.4,449.55,434.0,447.75,3600570
2020-11-06,447.2,457.6,442.2,452.65,3423935
2020-11-09,457.0,468.4,452.65,467.1,5649830
2020-11-10,466.6,466.6,436.4,447.85,7085130
2020-11-11,446.8,468.0,445.0,465.55,5485370
2020-11-12,467.85,485.8,463.0,467.85,11979790
2020-11-13,472.95,500.4,471.0,496.4,17180645
2020-11-14,500.0,500.4,492.35,495.15,639795
2020-11-17,502.0,506.9,492.25,504.15,4999020
2020-11-18,502.6,519.65,499.15,518.2,5678155
2020-11-19,514.8,527.0,499.0,502.05,4860595
2020-11-20,506.4,525.4,504.35,523.65,5384930
2020-11-23,524.2,529.0,514.2,524.05,3998695
2020-11-24,526.65,532.0,507.35,508.6,4451890
2020-11-25,512.2,512.4,484.0,485.25,6388310
2020-11-26,487.0,501.8,478.45,499.2,5236660
2020-11-27,501.2,507.0,486.4,500.15,7585120
2020-12-01,510.0,510.0,493.2,502.4,3346830
2020-12-02,505.0,510.8,502.15,506.85,2846480
2020-12-03,510.0,518.6,502.1,508.75,2714100
2020-12-04,510.0,514.0,507.3,512.4,1830320
2020-12-07,512.0,516.8,502.0,509.55,3547825
2020-12-08,510.0,519.9,508.8,512.0,3049375
2020-12-09,515.8,516.8,502.0,503.6,2842160
2020-12-10,503.6,521.75,503.6,515.65,5092470
2020-12-11,514.6,532.0,514.6,529.65,5368155
2020-12-14,533.4,535.8,518.4,526.75,4457505
2020-12-15,527.8,532.85,515.0,516.3,3263880
2020-12-16,521.6,538.25,515.8,535.25,4851580
2020-12-17,539.8,584.8,538.25,561.0,34753440
2020-12-18,564.95,575.95,548.2,551.65,12480365
2020-12-21,553.0,563.75,520.8,535.8,8822125
2020-12-22,540.0,544.7,516.05,541.7,6202105
2020-12-23,550.0,561.45,541.3,551.15,7428590
2020-12-24,558.0,558.5,538.8,541.5,4385835
2020-12-28,547.3,549.8,534.0,545.1,4653165
2020-12-29,548.0,550.4,538.0,540.6,3315330
2020-12-30,545.0,545.1,533.3,536.45,3504815
2020-12-31,536.6,560.95,536.6,558.25,9822935
2021-01-01,560.6,566.85,557.45,558.55,5016270
2021-01-04,559.1,563.3,548.1,549.45,3772730
2021-01-05,550.0,567.45,549.45,555.15,7607185
2021-01-06,560.0,571.2,549.4,557.7,5143125
2021-01-07,563.0,577.6,561.2,572.4,7623240
2021-01-08,580.0,589.6,575.45,582.5,6998630
2021-01-11,586.0,597.6,582.8,585.3,5885615
2021-01-12,584.2,585.15,571.0,575.6,3686320
2021-01-13,576.2,583.2,556.2,567.1,3917515
2021-01-14,569.4,572.65,549.0,556.7,4103045
2021-01-15,563.6,563.6,540.6,546.6,4030660
2021-01-18,546.0,566.2,543.0,560.5,7083110
2021-01-19,559.0,566.2,550.2,560.35,4820715
2021-01-20,562.0,570.7,556.6,562.15,3909270
2021-01-21,564.0,573.7,549.0,553.0,4053065
2021-01-22,559.0,567.55,546.75,549.25,4670360
2021-01-25,552.45,554.75,536.0,543.95,3375370
2021-01-27,543.95,545.4,525.3,527.65,2447900
2021-01-28,517.7,544.4,517.2,541.75,4425780
2021-01-29,541.8,547.0,514.0,518.05,3913670
