Date,Open,High,Low,Close,Volume
2020-04-01,292.75,314.35,283.85,309.8,3989949
2020-04-03,310.0,312.0,288.1,299.5,2291516
2020-04-07,310.0,322.25,306.0,318.3,2250208
2020-04-08,311.0,329.8,304.1,314.45,3091729
2020-04-09,323.0,337.5,314.6,329.4,2572943
2020-04-13,326.0,335.0,318.8,330.8,3477941
2020-04-15,331.0,341.0,305.8,316.2,4576002
2020-04-16,306.8,334.8,306.8,329.75,3946048
2020-04-17,341.3,360.85,335.0,357.75,3952243
2020-04-20,362.0,369.5,338.7,342.35,3328121
2020-04-21,339.0,342.0,317.1,320.4,3248837
2020-04-22,315.5,346.0,313.3,343.35,2887590
2020-04-23,346.0,358.0,345.7,349.2,2622366
2020-04-24,343.0,349.85,327.0,329.8,2969610
2020-04-27,343.0,359.3,332.0,348.65,2587311
2020-04-28,369.9,393.85,365.0,388.55,8201222
2020-04-29,388.0,394.0,379.0,390.0,2566919
2020-04-30,404.0,425.0,388.9,404.9,8589800
2020-05-04,399.8,399.8,374.55,376.5,3006464
2020-05-05,378.0,384.95,344.35,348.0,6501861
2020-05-06,350.0,365.0,348.0,357.55,5324785
2020-05-07,353.9,354.45,333.0,335.35,5130813
2020-05-08,342.0,353.0,339.5,342.2,3434639
2020-05-11,348.5,355.55,337.5,345.35,3265704
2020-05-12,341.0,351.75,336.6,347.95,3174181
2020-05-13,359.0,360.9,348.75,351.7,1768467
2020-05-14,349.0,362.75,344.8,357.4,2277258
2020-05-15,359.95,371.95,348.0,350.25,3172522
2020-05-18,348.0,348.0,326.3,332.45,2649854
2020-05-19,338.0,342.95,330.7,334.6,2733745
2020-05-20,336.0,354.5,332.5,352.15,2581234
2020-05-21,354.9,354.9,345.6,349.5,1551267
2020-05-22,348.0,358.85,344.25,347.5,2447640
2020-05-26,362.0,363.7,351.3,356.0,2381838
2020-05-27,353.0,358.0,349.5,356.2,1027109
2020-05-28,359.85,384.5,359.0,378.05,5462020
2020-05-29,375.0,396.75,366.25,392.55,5890210
2020-06-01,393.0,409.0,389.5,393.85,3548948
2020-06-02,390.0,414.5,380.6,409.8,5197858
2020-06-03,426.0,427.75,410.0,413.75,3529548
2020-06-04,410.0,418.7,403.1,404.8,2574272
2020-06-05,412.9,413.85,399.5,407.45,2664191
2020-06-08,412.95,448.15,405.5,434.3,7307557
2020-06-09,436.4,440.1,398.0,406.6,3384984
2020-06-10,408.55,414.1,395.0,397.4,2703103
2020-06-11,396.0,403.0,382.75,392.3,2702714
