Date,Open,High,Low,Close,Volume
2020-04-01,225.3,240.75,219.6,224.5,4921935
2020-04-03,223.55,226.2,207.5,210.15,4702299
2020-04-07,217.6,220.35,205.65,207.5,7014263
2020-04-08,205.3,225.0,200.85,215.25,5249846
2020-04-09,220.5,248.8,219.75,246.85,8389938
2020-04-13,246.85,251.5,231.0,235.5,3828808
2020-04-15,239.1,256.3,238.4,239.65,4768725
2020-04-16,237.0,255.1,234.0,248.8,5566762
2020-04-17,259.9,271.8,255.4,269.25,7112575
2020-04-20,271.9,282.0,267.55,270.4,4686877
2020-04-21,264.8,264.8,250.5,253.8,2491661
2020-04-22,254.0,257.1,243.8,254.4,3407536
2020-04-23,255.4,280.65,254.2,278.6,5453929
2020-04-24,271.5,272.5,250.65,252.15,5394442
2020-04-27,256.5,260.15,243.1,245.4,5366408
2020-04-28,246.25,270.5,238.4,268.0,10505666
2020-04-29,271.25,278.6,266.5,276.1,5898293
2020-04-30,278.95,288.35,272.8,274.75,7040200
2020-05-04,256.5,263.2,246.5,250.5,6598767
2020-05-05,255.7,259.9,245.05,248.05,6046800
2020-05-06,245.7,257.4,239.3,254.1,6320503
2020-05-07,252.3,260.35,248.6,251.25,3577958
2020-05-08,256.5,266.4,251.6,255.15,6130183
2020-05-11,258.45,264.45,257.5,259.75,3440924
2020-05-12,257.45,262.35,250.5,255.5,4606826
2020-05-13,268.5,278.5,263.3,266.0,5917571
2020-05-14,265.3,268.1,249.15,252.65,5665806
2020-05-15,254.5,254.5,241.75,245.4,5383083
2020-05-18,245.4,246.5,210.7,211.65,12187976
2020-05-19,217.5,227.2,214.5,222.95,9721855
2020-05-20,222.5,245.2,219.55,240.25,12543509
2020-05-21,236.7,244.9,234.35,238.65,5131775
2020-05-22,238.75,247.35,225.5,232.55,7884854
2020-05-26,233.25,235.45,224.1,231.1,5233253
2020-05-27,232.65,242.8,225.95,239.8,8444516
2020-05-28,240.5,244.0,232.9,236.15,6300244
2020-05-29,231.5,234.0,228.0,231.05,8685430
2020-06-01,234.5,247.3,233.85,242.05,10282270
2020-06-02,243.9,249.9,241.95,245.15,10077265
2020-06-03,249.45,255.0,245.1,246.85,7915565
2020-06-04,246.85,250.95,233.7,236.65,8160275
2020-06-05,238.5,254.9,237.7,253.35,10001033
2020-06-08,260.0,262.8,248.9,252.4,6380530
2020-06-09,254.5,259.8,243.15,245.1,6522766
2020-06-10,246.5,259.5,246.0,257.7,6052838
2020-06-11,257.65,270.85,255.15,263.15,11238990
2020-06-12,251.5,274.5,249.5,272.65,8317466
2020-06-15,272.0,273.55,259.95,261.9,7014489
2020-06-16,266.95,286.85,265.1,275.4,15494933
2020-06-17,275.65,287.9,272.7,283.65,9361234
2020-06-18,283.5,283.5,273.8,275.5,5343997
2020-06-19,275.5,279.35,271.85,276.25,7426176
2020-06-22,270.95,270.95,257.5,260.05,15993695
2020-06-23,260.6,267.8,260.55,264.6,7900129
2020-06-24,266.45,270.95,260.5,261.9,7616242
2020-06-25,259.5,263.3,256.6,259.9,5551852
2020-06-26,262.5,269.7,261.65,262.4,7495809
2020-06-29,261.15,262.85,251.2,256.05,5039935
2020-06-30,257.9,264.85,255.6,256.55,5382919
2020-07-01,258.2,269.85,257.0,268.0,7791843
2020-07-02,271.5,275.3,268.25,273.75,6645059
2020-07-03,274.75,275.5,263.1,265.85,4688154
2020-07-06,268.3,270.0,266.65,268.2,2916425
2020-07-07,268.5,272.4,263.5,269.8,4993364
2020-07-08,269.8,284.0,268.85,273.25,13320091
2020-07-09,275.5,278.15,272.8,274.45,4086476
2020-07-10,272.5,276.75,264.1,267.35,4787489
2020-07-13,269.5,273.4,265.0,266.35,2630670
2020-07-14,263.8,265.0,253.75,255.1,4921204
2020-07-15,257.5,260.3,250.65,251.45,3611322
2020-07-16,251.5,257.8,246.5,257.0,3866984
2020-07-17,258.5,261.35,253.75,257.45,3255738
2020-07-20,258.7,264.0,258.5,259.4,2948224
2020-07-21,262.3,267.0,260.85,261.3,3894091
2020-07-22,262.8,267.4,257.75,262.25,5211776
2020-07-23,262.25,266.9,261.5,265.45,2740928
2020-07-24,262.55,269.4,260.1,264.1,3406359
2020-07-27,264.95,265.2,255.55,258.25,3243774
2020-07-28,258.5,261.5,254.85,260.05,2897322
2020-07-29,260.7,269.95,259.05,264.95,4246645
2020-07-30,265.8,268.0,254.65,255.4,3461522
2020-07-31,256.7,258.2,252.25,254.0,3019816
2020-08-03,251.5,253.7,248.5,249.2,2980544
2020-08-04,250.0,254.0,249.1,249.8,3402215
2020-08-05,251.2,253.4,248.1,248.5,4240866
2020-08-06,249.95,254.3,246.9,249.9,3946030
2020-08-07,250.5,256.5,250.0,251.05,6051780
2020-08-10,252.9,257.3,252.35,254.6,3794630
2020-08-11,256.25,264.4,255.55,258.65,6604731
2020-08-12,257.35,261.2,256.1,258.8,2214817
2020-08-13,260.0,263.6,258.55,262.45,4686173
2020-08-14,263.95,264.8,253.5,255.65,3684941
2020-08-17,257.3,260.5,255.5,258.5,2965164
2020-08-18,259.6,260.75,256.15,259.75,2562592
2020-08-19,261.05,274.0,261.0,269.0,10199063
2020-08-20,266.5,274.75,263.6,269.55,5325786
2020-08-21,271.8,274.4,267.5,268.25,2412691
2020-08-24,270.5,273.0,266.6,268.1,3729146
2020-08-25,279.5,300.5,277.4,290.5,43294607
2020-08-26,296.5,296.5,287.35,289.55,7073726
2020-08-27,292.45,296.3,290.3,295.35,6348576
2020-08-28,297.15,310.5,297.15,305.8,10854043
2020-08-31,309.15,314.8,288.55,292.8,8229603
2020-09-01,292.8,300.35,284.9,294.8,5738207
2020-09-02,293.5,297.75,289.95,294.45,2159346
2020-09-03,297.2,300.35,292.05,294.9,2488475
2020-09-04,289.0,293.3,284.7,286.85,2791594
2020-09-07,285.65,289.05,280.85,285.45,3579799
2020-09-08,286.1,295.0,284.3,285.9,4910155
2020-09-09,281.45,283.9,273.15,278.25,3768735
2020-09-10,281.65,289.7,280.65,287.2,3974709
2020-09-11,287.75,290.1,284.1,288.0,2079234
2020-09-14,291.5,298.15,288.75,294.15,4234150
2020-09-15,297.5,298.25,290.9,293.95,2794898
2020-09-16,294.3,303.2,291.5,301.1,4708270
2020-09-17,292.35,298.85,287.55,297.75,3531210
2020-09-18,298.9,302.15,289.0,294.8,4019733
2020-09-21,294.5,295.05,279.5,282.8,3296869
2020-09-22,282.8,284.1,272.95,278.1,2594622
2020-09-23,280.5,283.4,264.7,269.55,4408662
2020-09-24,263.55,265.15,251.5,252.65,4655741
2020-09-25,254.65,263.75,252.35,262.0,3283255
2020-09-28,266.35,275.2,263.5,273.7,2762130
2020-09-29,275.4,276.8,267.1,270.4,2337710
2020-09-30,272.4,272.95,265.8,267.3,2131867
2020-10-01,270.2,275.6,268.8,272.05,1784779
2020-10-05,271.65,280.0,265.65,266.4,3151786
2020-10-06,267.7,284.3,267.7,280.8,7861329
2020-10-07,280.8,281.85,273.15,273.8,3474707
2020-10-08,276.55,285.05,275.15,278.25,4722008
2020-10-09,282.4,309.1,281.5,297.55,32887663
2020-10-12,300.5,303.45,289.5,293.2,6860600
2020-10-13,292.9,294.0,278.0,279.75,5271687
2020-10-14,279.5,279.5,271.7,277.95,5258204
2020-10-15,278.55,282.9,267.4,269.05,5147416
2020-10-16,271.5,277.85,271.2,276.95,4183309
2020-10-19,279.85,285.05,275.55,283.1,4401730
2020-10-20,281.5,286.2,279.5,282.65,2704632
2020-10-21,285.0,293.4,283.85,290.3,4603034
2020-10-22,291.4,301.5,290.95,300.1,7982431
2020-10-23,300.5,301.5,295.05,297.15,2995182
2020-10-26,297.85,298.4,287.5,290.35,2039792
2020-10-27,288.6,292.3,281.65,290.45,2629205
2020-10-28,290.5,293.4,284.5,286.55,3143412
2020-10-29,282.75,284.95,275.4,278.35,3173312
2020-10-30,278.5,280.0,272.35,274.45,3257253
2020-11-02,275.55,292.5,275.15,290.6,4834044
2020-11-03,290.35,296.05,286.1,294.25,4545458
2020-11-04,291.55,293.8,283.85,286.8,2933311
2020-11-05,291.0,299.0,288.05,298.0,5393070
2020-11-06,299.5,302.45,289.75,293.4,5985382
2020-11-09,295.95,298.0,290.7,295.8,3127656
2020-11-10,297.85,315.5,294.75,313.4,11418261
2020-11-11,314.5,318.3,306.5,315.25,13144657
2020-11-12,315.4,317.3,302.4,308.65,9066734
2020-11-13,306.5,308.35,299.6,305.7,6096659
2020-11-14,308.5,311.5,303.6,306.75,762827
2020-11-17,308.0,312.1,303.75,306.2,5154551
2020-11-18,306.5,324.8,304.75,323.05,8331957
2020-11-19,322.5,337.2,312.5,320.35,14705419
2020-11-20,321.25,325.2,314.15,321.05,6130068
2020-11-23,323.9,325.5,311.2,313.3,6770468
2020-11-24,315.5,320.25,314.5,315.55,4556979
2020-11-25,318.5,323.45,312.6,314.35,7908094
2020-11-26,316.75,318.95,312.8,316.9,5035059
2020-11-27,316.5,332.5,312.0,320.5,48252750
2020-12-01,317.25,334.0,317.2,330.8,10531600
2020-12-02,333.3,338.4,331.55,334.7,9687883
2020-12-03,337.3,356.2,335.1,347.65,13251330
2020-12-04,350.8,353.95,334.5,340.3,9909975
2020-12-07,340.2,346.2,335.65,340.05,6039004
2020-12-08,341.5,349.2,338.95,346.85,8021889
2020-12-09,350.1,350.5,344.5,348.7,5152284
2020-12-10,349.2,349.2,336.0,337.9,5551931
2020-12-11,339.5,349.85,339.15,344.8,6735618
2020-12-14,346.5,357.95,346.35,355.1,8536381
2020-12-15,354.3,366.8,347.65,365.5,9942703
2020-12-16,369.1,382.5,364.7,371.65,9186894
2020-12-17,371.5,377.0,367.0,368.85,5214740
2020-12-18,370.0,371.25,358.5,362.15,5471843
2020-12-21,359.5,360.45,332.55,342.15,7740082
2020-12-22,341.0,345.75,326.0,338.45,8354981
2020-12-23,340.3,349.9,337.2,348.55,5344193
2020-12-24,351.45,362.25,350.6,353.75,7350846
2020-12-28,356.35,362.5,354.2,358.5,3678251
2020-12-29,361.5,362.9,352.75,354.9,3017543
2020-12-30,357.5,357.5,347.6,351.8,4395587
2020-12-31,353.5,355.7,350.05,352.75,2843516
2021-01-01,354.5,370.5,354.1,369.1,8615352
2021-01-04,371.5,376.4,368.15,373.2,5326473
2021-01-05,370.5,390.5,368.95,386.05,8591323
2021-01-06,387.45,409.35,386.45,399.8,11763166
2021-01-07,404.5,435.9,402.6,426.5,13798782
2021-01-08,432.35,439.1,428.0,433.65,10006470
2021-01-11,436.3,436.3,412.5,422.25,6461953
2021-01-12,421.1,436.4,415.5,430.3,5867083
2021-01-13,434.5,455.3,419.2,429.5,13435773
2021-01-14,432.25,438.2,422.0,424.85,8294996
2021-01-15,426.45,430.5,417.2,422.15,5965720
2021-01-18,422.5,423.1,399.5,402.65,7493963
2021-01-19,407.8,419.5,406.6,418.45,6634578
2021-01-20,420.0,424.45,410.6,422.9,6001360
2021-01-21,426.6,428.45,408.4,412.15,5880424
2021-01-22,412.5,418.95,403.75,405.05,5340665
2021-01-25,412.5,424.2,404.85,407.25,7205875
2021-01-27,406.85,406.85,383.9,386.5,7791334
2021-01-28,381.5,390.9,374.9,386.45,7318314
2021-01-29,393.0,408.1,381.5,387.2,12114900
2021-02-01,393.1,440.5,384.0,424.4,13821161
2021-02-02,428.0,447.0,427.35,432.5,9719962
2021-02-03,436.2,442.8,419.8,440.15,10279238
2021-02-04,441.5,449.45,437.25,443.75,6190152
2021-02-05,448.5,449.9,422.55,424.7,8966900
2021-02-08,429.2,439.45,426.6,428.8,4534590
2021-02-09,431.5,437.8,426.0,430.4,4088716
2021-02-10,430.5,434.2,424.3,430.75,3504928
2021-02-11,430.5,434.8,425.0,426.0,2945862
2021-02-12,426.9,437.4,425.75,434.0,5424346
2021-02-15,438.45,471.4,435.9,467.55,17082918
2021-02-16,472.4,474.85,457.25,461.3,6489108
2021-02-17,459.5,468.8,454.5,461.95,6851793
2021-02-18,465.3,478.9,461.1,470.35,7414935
2021-02-19,465.95,470.4,435.15,440.8,7784979
2021-02-22,444.25,444.25,416.95,419.65,6143541
2021-02-23,421.5,428.7,417.35,421.25,4858077
2021-02-24,423.05,438.2,423.05,435.0,3597991
2021-02-25,439.3,447.2,436.2,442.75,5397000
2021-02-26,433.5,433.5,419.5,421.0,5690320
2021-03-01,426.5,428.9,419.5,424.7,3331413
2021-03-02,426.5,435.05,425.7,432.95,3428247
2021-03-03,436.95,458.15,436.95,455.8,7471882
2021-03-04,451.45,454.5,444.2,445.7,3955080
2021-03-05,444.5,444.5,422.05,427.75,4858112
2021-03-08,431.6,435.2,422.0,423.65,4012307
2021-03-09,425.5,430.6,414.5,420.55,4140737
2021-03-10,425.0,428.3,421.6,424.65,1920663
2021-03-12,426.65,433.3,418.95,421.45,2896577
2021-03-15,423.6,425.1,403.2,411.3,5126227
2021-03-16,414.0,425.5,412.5,421.55,3447788
2021-03-17,419.85,423.6,407.25,408.65,3061963
2021-03-18,411.8,418.2,396.6,399.7,3403019
2021-03-19,395.5,411.0,388.5,407.95,5752521
2021-03-22,409.0,415.1,402.5,406.0,3171767
2021-03-23,407.3,416.5,406.6,409.6,3856153
2021-03-24,411.5,412.25,399.6,400.8,3372206
2021-03-25,401.5,409.3,393.0,404.3,4224464
2021-03-26,408.15,414.85,405.8,411.3,3223942
2021-03-30,413.5,418.9,406.3,412.05,2478626
2021-03-31,412.5,423.95,411.6,419.7,3522833
2021-04-01,423.25,425.4,415.5,424.35,2815660
2021-04-05,422.3,422.3,403.45,409.95,2994495
2021-04-06,411.5,417.25,408.95,411.0,2683827
2021-04-07,410.0,418.15,407.7,410.4,4334369
2021-04-08,412.9,419.1,410.0,411.3,2716394
2021-04-09,411.0,414.6,405.6,407.2,2252712
2021-04-12,399.5,401.35,369.25,374.65,7149229
2021-04-13,376.45,387.0,372.5,385.65,4163086
2021-04-15,384.6,392.05,372.5,381.4,4053999
2021-04-16,380.6,386.0,379.0,383.8,2502929
2021-04-19,373.5,376.4,364.2,370.55,4999800
2021-04-20,375.5,382.85,371.5,374.05,2453675
2021-04-22,370.5,381.85,368.9,378.35,3163732
