Date,Open,High,Low,Close,Volume
2020-04-01,1446.0,1490.0,1380.0,1392.25,126718
2020-04-03,1380.0,1392.25,1345.0,1354.15,76517
2020-04-07,1395.0,1395.0,1355.0,1367.15,88451
2020-04-08,1360.0,1377.25,1335.55,1355.5,92221
2020-04-09,1377.0,1445.0,1365.05,1398.65,247088
2020-04-13,1413.0,1424.95,1393.55,1399.25,110210
2020-04-15,1413.95,1489.1,1404.35,1470.5,146529
2020-04-16,1446.05,1524.5,1431.65,1467.85,164504
2020-04-17,1510.1,1510.1,1435.0,1444.7,131889
2020-04-20,1474.95,1510.0,1461.8,1492.1,275764
2020-04-21,1450.0,1488.8,1435.35,1449.9,147847
2020-04-22,1448.0,1448.0,1385.05,1418.45,151232
2020-04-23,1430.0,1472.0,1420.0,1459.15,122755
2020-04-24,1455.0,1470.0,1421.55,1433.8,151941
2020-04-27,1452.25,1470.0,1421.35,1450.65,447191
2020-04-28,1463.85,1471.95,1445.0,1465.85,51626
2020-04-29,1479.65,1493.0,1445.2,1465.05,101143
2020-04-30,1488.0,1650.0,1480.0,1592.95,236847
2020-05-04,1570.0,1570.0,1503.25,1545.35,78506
2020-05-05,1552.2,1588.5,1525.0,1535.4,137671
2020-05-06,1535.4,1567.45,1510.05,1536.1,148484
2020-05-07,1536.1,1601.0,1535.9,1593.25,73425
2020-05-08,1605.25,1614.0,1570.1,1584.65,84477
2020-05-11,1600.0,1674.7,1595.75,1614.2,115873
2020-05-12,1614.0,1655.0,1590.8,1648.35,82164
2020-05-13,1689.0,1689.0,1645.1,1656.45,316636
2020-05-14,1645.0,1667.15,1628.0,1648.25,173342
2020-05-15,1650.0,1657.95,1636.05,1645.8,66726
2020-05-18,1655.0,1668.0,1600.0,1645.65,205525
2020-05-19,1661.0,1680.0,1640.0,1670.15,59442
2020-05-20,1719.95,1834.0,1711.0,1784.0,842336
2020-05-21,1763.95,1800.0,1745.8,1784.9,104118
2020-05-22,1784.95,1839.0,1771.0,1786.65,125113
2020-05-26,1795.0,1809.65,1767.05,1787.25,82065
2020-05-27,1787.0,1809.05,1787.0,1794.2,113020
2020-05-28,1787.0,1818.95,1775.1,1793.4,90551
2020-05-29,1780.2,1812.0,1780.2,1798.85,46008
2020-06-01,1795.0,1860.0,1795.0,1842.95,170384
2020-06-02,1846.0,1894.0,1817.85,1858.55,321389
2020-06-03,1854.95,1880.1,1844.05,1848.35,154333
2020-06-04,1849.95,1869.3,1846.5,1861.25,50397
2020-06-05,1865.05,1870.7,1849.1,1857.25,54930
2020-06-08,1873.15,1884.85,1855.0,1870.0,54423
2020-06-09,1856.0,1895.0,1850.2,1885.4,210894
2020-06-10,1885.0,1899.0,1879.6,1887.5,48949
2020-06-11,1881.5,1887.95,1866.8,1870.4,44855
2020-06-12,1820.0,1870.4,1801.0,1850.0,68224
2020-06-15,1846.0,1877.25,1841.0,1860.4,44697
