Date,Open,High,Low,Close,Volume
2020-04-01,4290.0,4424.85,4190.1,4246.35,1323857
2020-04-03,4250.0,4267.0,4001.1,4011.5,1724863
2020-04-07,4150.0,4612.9,4120.0,4553.65,2688425
2020-04-08,4406.5,4925.0,4406.5,4698.1,2798838
2020-04-09,4794.45,5399.0,4736.2,5326.65,3786661
2020-04-13,5285.0,5343.4,5001.0,5283.15,2192269
2020-04-15,5307.5,5350.0,5041.0,5094.3,2094529
2020-04-16,5017.0,5228.0,4970.0,5130.8,1752170
2020-04-17,5325.0,5602.95,5211.7,5505.0,2192907
2020-04-20,5512.0,5573.95,5280.0,5331.35,1555313
2020-04-21,5131.3,5131.3,4884.5,5001.1,1843174
2020-04-22,5009.0,5248.25,4991.0,5180.85,1991789
2020-04-23,5169.0,5244.6,5045.0,5156.35,1454065
2020-04-24,5100.0,5140.0,5030.0,5045.65,1070905
2020-04-27,5150.1,5225.0,4991.55,5056.35,1432342
2020-04-28,5090.0,5120.0,4990.25,5052.7,1172062
2020-04-29,5100.0,5100.0,5011.05,5068.45,1038100
2020-04-30,5122.0,5425.0,5122.0,5358.8,2341400
2020-05-04,5096.0,5130.25,4840.0,4886.3,1742871
2020-05-05,4995.0,5029.55,4800.0,4829.85,1570620
2020-05-06,4841.2,5000.0,4710.0,4843.25,2214534
2020-05-07,4899.5,4935.35,4735.0,4749.3,1530824
2020-05-08,4874.0,4879.0,4637.5,4654.15,1828146
2020-05-11,4750.0,5014.6,4730.15,4937.8,3176498
2020-05-12,4914.0,4985.0,4690.05,4951.3,3124772
2020-05-13,5250.0,5317.45,4986.25,5036.1,3304851
2020-05-14,4905.0,5145.0,4852.15,5114.05,2590715
2020-05-15,5110.0,5123.2,4961.15,5100.4,2182575
2020-05-18,5080.4,5095.0,4680.55,4720.95,3164147
2020-05-19,4842.0,4900.0,4755.75,4805.3,2108189
2020-05-20,4754.0,4920.0,4745.5,4891.95,1518297
2020-05-21,4890.0,5073.8,4851.05,5050.1,1868172
2020-05-22,5010.0,5150.0,4930.75,5134.3,1935877
2020-05-26,5200.0,5285.8,5160.65,5246.15,1508804
2020-05-27,5270.0,5291.0,5135.4,5244.4,1534657
2020-05-28,5267.0,5495.0,5220.0,5468.35,2325387
2020-05-29,5375.0,5666.75,5375.0,5610.8,3386741
2020-06-01,5690.0,5864.65,5666.9,5793.6,2341043
2020-06-02,5797.75,5849.0,5625.1,5690.1,2110720
2020-06-03,5730.0,5832.0,5606.0,5624.0,1652859
2020-06-04,5658.0,5719.95,5572.0,5690.2,1642052
2020-06-05,5728.3,5785.0,5671.1,5746.2,1236660
2020-06-08,5850.0,5850.0,5701.5,5734.8,1176769
2020-06-09,5754.0,5787.0,5620.0,5662.3,1336815
2020-06-10,5655.0,5740.0,5615.0,5675.6,1432292
