Date,Open,High,Low,Close,Volume
2020-04-01,819.95,833.7,801.1,814.9,275019
2020-04-03,819.0,844.45,801.15,824.5,696751
2020-04-07,845.0,885.5,832.65,859.5,677243
2020-04-08,862.6,941.75,859.5,890.6,1068870
2020-04-09,917.0,917.0,882.2,898.45,586149
2020-04-13,910.0,960.0,872.0,949.65,985520
2020-04-15,958.95,968.95,925.7,940.95,864920
2020-04-16,939.0,958.0,921.0,939.45,780373
2020-04-17,948.15,968.4,941.65,947.25,1364794
2020-04-20,952.0,986.85,945.8,959.85,882069
2020-04-21,950.0,959.0,940.55,949.55,675268
2020-04-22,942.0,943.55,901.55,932.6,687505
2020-04-23,937.6,950.0,908.05,912.4,660155
2020-04-24,912.0,936.95,890.0,913.05,718412
2020-04-27,927.0,939.8,916.05,925.5,274980
2020-04-28,928.0,965.5,924.0,959.35,678818
2020-04-29,967.7,990.0,940.25,946.2,1211246
2020-04-30,955.0,978.1,955.0,972.75,747780
2020-05-04,932.1,975.75,932.1,941.65,607293
2020-05-05,959.9,959.9,905.0,908.65,574404
2020-05-06,900.5,922.0,881.05,894.25,1458669
2020-05-07,894.25,907.65,863.3,872.65,817591
2020-05-08,880.5,894.0,855.6,859.45,708735
2020-05-11,865.0,905.0,862.8,900.1,1013673
2020-05-12,895.0,915.15,877.65,906.6,421098
2020-05-13,928.9,928.9,903.3,922.1,495953
2020-05-14,922.8,939.7,891.3,902.0,412466
2020-05-15,902.0,912.95,887.3,892.85,330883
2020-05-18,900.1,900.8,872.15,881.7,425606
2020-05-19,886.2,910.0,872.4,888.85,641697
2020-05-20,885.0,904.15,880.15,897.5,483243
2020-05-21,898.0,916.7,897.1,906.95,708809
2020-05-22,906.9,909.9,886.35,894.6,445497
2020-05-26,895.8,935.0,894.6,930.4,704497
2020-05-27,932.0,949.3,915.0,917.7,606882
2020-05-28,919.0,942.7,917.0,924.7,603782
2020-05-29,923.0,980.05,919.05,972.6,1058763
2020-06-01,982.0,1001.4,953.35,961.9,1041865
2020-06-02,967.0,979.85,942.5,966.4,1102110
2020-06-03,971.4,1024.4,969.2,1013.85,1827727
2020-06-04,1048.0,1058.0,1015.55,1024.65,2845144
2020-06-05,1038.25,1038.25,1002.0,1012.65,1165374
2020-06-08,1020.0,1042.0,985.1,988.55,1134082
2020-06-09,998.0,1013.0,992.0,996.85,1133170
2020-06-10,1010.0,1010.0,983.0,993.3,1076796
2020-06-11,995.0,1048.8,993.3,1036.3,2923939
2020-06-12,1004.95,1087.3,1001.0,1074.2,2261363
2020-06-15,1076.0,1097.4,1062.0,1069.8,1682066
2020-06-16,1075.0,1084.6,1034.8,1048.85,2181100
2020-06-17,1052.75,1068.7,1040.7,1045.4,720198
2020-06-18,1042.8,1090.45,1033.05,1082.65,1467632
2020-06-19,1082.65,1094.6,1061.0,1075.65,1159154
2020-06-22,1077.0,1089.45,1050.05,1053.55,1168185
