Date,Open,High,Low,Close,Volume
2020-04-01,815.0,822.8,775.0,782.7,2550240
2020-04-03,797.0,797.0,750.2,755.2,3815600
2020-04-07,778.8,860.0,771.3,851.9,4938020
2020-04-08,832.5,877.2,827.8,843.6,4968900
2020-04-09,871.8,877.2,828.8,842.0,4150200
2020-04-13,842.2,848.7,816.5,830.0,1662640
2020-04-15,832.8,869.6,832.8,866.3,3111580
2020-04-16,866.0,900.1,852.6,894.8,4514800
2020-04-17,918.5,918.5,861.2,866.2,3745420
2020-04-20,874.5,874.5,846.5,848.8,2703940
2020-04-21,840.0,862.0,835.0,850.8,2675120
2020-04-22,850.4,885.0,840.8,882.1,4044820
2020-04-23,880.0,890.0,865.3,871.8,3742000
2020-04-24,865.0,890.0,865.0,870.3,2902320
2020-04-27,879.2,900.8,871.2,897.6,2439720
2020-04-28,898.8,901.2,875.0,878.5,2150980
2020-04-29,887.4,887.4,870.0,874.5,2104860
2020-04-30,885.0,900.0,875.6,896.2,3167400
2020-05-04,871.0,886.4,868.0,872.8,2379500
2020-05-05,878.6,881.8,855.0,871.1,2613640
2020-05-06,871.1,880.8,863.5,865.5,2710180
2020-05-07,860.0,864.0,841.2,857.1,4181560
2020-05-08,867.5,891.0,860.1,890.2,3584000
2020-05-11,888.5,896.0,874.5,878.1,3680640
2020-05-12,880.4,888.8,869.2,873.1,4778740
2020-05-13,887.5,887.5,820.0,825.6,11240680
2020-05-14,830.0,842.5,810.0,812.1,8205440
2020-05-15,825.0,827.5,810.1,822.2,5432060
2020-05-18,822.0,828.8,808.1,812.0,3359240
2020-05-19,814.0,820.8,805.4,807.5,2362880
2020-05-20,812.0,829.8,807.6,815.2,3590780
2020-05-21,816.5,825.2,813.2,814.8,2421600
2020-05-22,814.8,819.8,807.5,810.8,2366000
2020-05-26,819.0,837.5,816.2,832.8,3973840
2020-05-27,835.0,841.0,824.4,835.8,3350660
2020-05-28,835.8,851.5,834.0,849.4,3525780
2020-05-29,847.5,880.0,839.2,877.0,4889320
2020-06-01,877.0,887.4,855.6,859.2,3506020
2020-06-02,873.8,873.8,848.6,850.7,2644020
2020-06-03,858.8,876.1,857.6,870.4,2922040
