Date,Open,High,Low,Close,Volume
2020-04-01,8.62,9.02,8.24,8.57,35432409
2020-04-03,8.67,8.86,8.17,8.67,32293254
2020-04-07,8.77,8.97,8.44,8.62,40405383
2020-04-08,8.58,8.82,8.0,8.12,56678055
2020-04-09,8.28,8.77,8.24,8.73,30569472
2020-04-13,8.75,9.49,8.43,9.16,42504261
2020-04-15,9.31,9.64,9.01,9.11,42328320
2020-04-16,9.16,9.18,8.73,8.82,28181385
2020-04-17,9.16,9.26,8.77,8.82,40014675
2020-04-20,9.02,9.04,8.26,8.34,96979791
2020-04-21,8.22,8.22,7.91,7.95,48095394
2020-04-22,7.95,8.07,7.68,8.0,61199649
2020-04-23,8.09,8.57,8.02,8.34,50498316
2020-04-24,8.31,8.48,7.86,7.91,47340807
2020-04-27,7.95,8.22,7.93,7.95,15549825
2020-04-28,8.05,8.14,7.64,7.83,43997301
2020-04-29,7.93,8.24,7.85,8.14,20465352
2020-04-30,8.33,8.97,8.2,8.84,45739050
2020-05-04,8.19,8.48,7.91,8.04,45006420
2020-05-05,8.22,8.28,7.73,7.78,50392974
2020-05-06,7.86,8.02,7.59,7.83,35903502
2020-05-07,7.78,7.9,7.68,7.8,22988007
2020-05-08,7.93,8.0,7.75,7.83,20435289
2020-05-11,7.91,8.07,7.68,7.71,18177555
2020-05-12,7.68,7.76,7.37,7.52,26263824
2020-05-13,7.95,8.29,7.71,8.07,33942966
2020-05-14,8.05,8.05,7.64,7.7,26996004
2020-05-15,7.71,8.15,7.68,7.91,22627170
2020-05-18,8.0,8.04,7.46,7.54,41508858
2020-05-19,7.73,7.83,7.54,7.59,18756615
2020-05-20,7.59,7.71,7.49,7.54,13944759
2020-05-21,7.59,8.17,7.54,7.97,62821137
2020-05-22,7.97,8.04,7.64,7.73,32482506
2020-05-26,7.8,8.26,7.78,8.19,44295390
2020-05-27,8.15,8.15,7.86,8.09,24309306
2020-05-28,8.14,8.8,7.99,8.62,54032070
2020-05-29,8.49,9.06,8.39,8.92,50579859
2020-06-01,9.18,9.71,9.11,9.36,42234009
2020-06-02,9.45,9.62,9.18,9.5,54867303
2020-06-03,9.6,9.74,9.35,9.4,27654114
2020-06-04,9.36,9.62,9.21,9.49,43973847
2020-06-05,9.67,10.18,9.59,9.98,54466548
2020-06-08,10.22,10.78,10.15,10.31,52990071
2020-06-09,10.49,10.81,10.23,10.37,88317891
2020-06-10,10.42,10.49,9.96,10.13,24358617
