Date,Open,High,Low,Close,Volume
2020-04-01,62.0,62.25,60.2,60.8,21883464
2020-04-03,63.85,65.7,61.5,64.6,39761221
2020-04-07,65.9,68.8,64.9,67.45,30983247
2020-04-08,66.95,70.65,65.7,68.85,30556746
2020-04-09,70.35,71.85,70.35,71.5,19210693
2020-04-13,72.85,72.85,67.2,69.4,22316547
2020-04-15,69.45,70.7,68.0,68.75,22311692
2020-04-16,68.45,70.75,67.9,69.8,24473642
2020-04-17,72.0,72.0,69.5,70.6,14565447
2020-04-20,69.7,70.0,68.3,68.45,15699082
2020-04-21,64.45,65.45,62.2,64.2,27607651
2020-04-22,60.95,61.35,56.25,60.45,73847573
2020-04-23,62.45,63.9,61.55,62.3,38208748
2020-04-24,62.15,64.3,61.6,62.55,31588406
2020-04-27,62.85,64.3,62.6,63.3,16723890
2020-04-28,62.7,64.45,62.1,64.05,20423140
2020-04-29,64.25,65.65,63.55,65.2,18028576
2020-04-30,67.15,74.95,66.15,73.95,54295139
2020-05-04,70.35,72.05,68.5,70.8,28642245
2020-05-05,72.95,75.75,72.35,72.55,61865518
2020-05-06,75.25,75.25,71.65,73.3,38948341
2020-05-07,72.45,72.45,69.45,69.95,20806305
2020-05-08,70.65,71.4,69.15,70.35,18523906
2020-05-11,70.35,72.35,68.9,71.25,15701778
2020-05-12,71.15,71.55,68.9,70.6,14186808
2020-05-13,73.05,73.1,70.55,72.4,20494837
2020-05-14,71.2,71.55,69.55,70.45,13346163
2020-05-15,71.45,72.6,70.25,70.45,16836413
2020-05-18,71.15,71.15,66.95,67.45,13015452
2020-05-19,68.8,72.75,68.55,71.35,42316096
2020-05-20,71.4,72.6,70.6,72.2,12969876
2020-05-21,72.8,73.05,70.65,71.2,17999916
2020-05-22,71.15,71.15,69.75,70.45,12443833
2020-05-26,71.2,72.4,70.8,71.2,11840048
2020-05-27,71.4,72.4,70.25,72.15,11656180
2020-05-28,71.7,74.85,71.6,72.9,18646208
2020-05-29,72.25,77.45,71.6,76.95,40559737
2020-06-01,78.6,80.05,77.35,77.65,25048603
2020-06-02,78.15,78.55,76.45,78.0,15368224
2020-06-03,79.6,80.85,78.85,79.85,23937209
2020-06-04,78.6,79.6,77.7,78.55,15121039
2020-06-05,78.7,82.15,78.6,80.45,18203733
2020-06-08,83.25,86.15,82.55,84.15,32511412
2020-06-09,85.05,85.45,82.65,83.25,16702416
2020-06-10,83.8,84.65,81.1,81.65,17382524
2020-06-11,81.7,82.8,80.05,80.4,14276814
2020-06-12,75.45,77.9,75.45,77.6,20601082
2020-06-15,77.7,79.45,76.75,77.8,17275091
2020-06-16,79.05,79.3,76.2,77.6,13467650
2020-06-17,77.3,78.45,76.95,77.9,15440386
2020-06-18,76.75,77.65,75.65,77.3,18460702
2020-06-19,79.05,79.85,78.0,79.3,21920952
2020-06-22,79.65,79.75,77.8,78.55,19229487
2020-06-23,79.05,80.05,78.1,79.2,23442659
2020-06-24,79.8,80.2,76.4,76.85,33082696
2020-06-25,76.1,77.7,74.05,75.5,121278403
2020-06-26,76.85,78.5,76.35,77.85,23684918
2020-06-29,77.65,77.8,75.5,76.25,14299404
2020-06-30,77.2,77.25,74.6,75.25,25762628
2020-07-01,73.05,74.85,72.45,74.45,35344809
2020-07-02,75.25,77.85,75.0,75.7,35154233
2020-07-03,76.3,77.1,75.5,76.25,16793161
2020-07-06,76.8,78.55,76.6,77.45,17511379
2020-07-07,77.45,77.5,75.65,75.8,20124675
2020-07-08,75.85,76.65,74.9,75.2,18626982
2020-07-09,75.5,76.1,73.95,74.2,17348338
2020-07-10,74.05,74.15,71.9,72.6,17773267
2020-07-13,73.25,73.6,72.5,72.95,9361006
2020-07-14,72.6,73.0,71.35,71.55,9303884
2020-07-15,72.2,72.4,70.2,70.55,14377120
2020-07-16,70.65,70.9,69.35,70.45,10605125
2020-07-17,70.6,74.6,70.6,74.35,24934073
2020-07-20,74.9,75.15,73.25,74.3,15570377
2020-07-21,74.55,76.65,74.35,76.3,20976714
2020-07-22,76.55,77.2,75.6,76.45,17884327
2020-07-23,76.35,77.55,75.9,76.5,14674735
2020-07-24,75.95,76.25,74.25,74.9,10000517
2020-07-27,75.3,75.85,74.1,74.7,8511120
2020-07-28,74.9,75.15,73.35,73.95,10618186
2020-07-29,73.85,74.6,73.35,73.55,9906214
2020-07-30,74.05,74.4,71.7,71.9,9671441
2020-07-31,72.15,72.9,71.35,72.45,10965340
2020-08-03,72.45,72.6,69.9,70.25,11874519
2020-08-04,70.6,71.9,70.25,70.4,13370396
2020-08-05,70.75,71.7,70.6,71.15,9078922
2020-08-06,72.05,74.0,71.25,72.25,26386804
2020-08-07,72.35,73.45,72.3,72.7,11787233
2020-08-10,73.55,73.8,72.95,73.1,7067873
2020-08-11,73.6,74.05,72.4,72.55,10835770
2020-08-12,72.55,73.15,71.9,72.3,10482298
2020-08-13,72.6,73.5,72.5,72.65,7316685
2020-08-14,72.75,73.0,71.15,71.3,11637195
2020-08-17,71.7,73.85,71.6,73.35,13612342
2020-08-18,73.8,75.75,73.2,74.6,28330266
2020-08-19,74.75,75.6,73.15,73.6,12081506
2020-08-20,73.05,77.0,72.1,76.0,37457741
2020-08-21,76.7,77.15,74.6,74.95,17027759
2020-08-24,75.2,75.7,74.55,75.15,9798867
2020-08-25,75.3,76.35,74.2,74.45,22481154
2020-08-26,75.1,75.95,74.65,75.3,15968479
2020-08-27,75.65,75.8,74.05,74.15,16309200
2020-08-28,74.35,75.65,74.05,74.35,14667141
2020-08-31,74.9,79.05,74.8,75.8,93193563
2020-09-01,76.55,76.6,72.2,73.4,38005572
2020-09-02,75.05,75.6,73.55,74.3,31155170
2020-09-03,74.45,75.2,72.85,73.1,19976183
2020-09-04,72.6,73.15,71.55,72.1,12855872
2020-09-07,72.4,72.45,70.3,70.7,16574103
2020-09-08,70.8,70.85,68.45,68.85,17905760
2020-09-09,68.4,68.4,65.6,67.25,28166431
2020-09-10,68.0,68.8,67.2,68.15,18646453
2020-09-11,67.95,68.2,67.15,67.8,11511957
2020-09-14,68.35,69.15,67.75,68.15,11990117
2020-09-15,68.25,68.75,67.75,68.3,8883209
2020-09-16,68.65,68.85,67.1,67.6,10285753
2020-09-17,67.6,68.7,67.4,67.65,16070908
2020-09-18,68.3,69.2,67.5,68.7,25692290
2020-09-21,68.45,68.55,65.6,65.85,13686791
2020-09-22,65.7,66.0,63.6,64.3,18043170
2020-09-23,64.45,64.85,62.35,62.6,17014241
2020-09-24,61.1,62.3,60.6,61.65,32950980
2020-09-25,62.85,64.1,61.2,63.75,20235948
2020-09-28,64.25,68.2,64.1,66.45,28336618
2020-09-29,67.05,67.25,63.75,64.0,20798564
2020-09-30,64.25,65.15,62.55,64.1,20069463
2020-10-01,62.45,64.25,61.65,64.0,20869336
2020-10-05,63.85,64.45,63.25,64.05,12608190
2020-10-06,64.7,64.9,63.85,64.2,10028722
2020-10-07,64.15,67.85,63.95,65.2,50074521
2020-10-08,65.6,65.7,63.1,63.3,21348290
2020-10-09,63.85,65.3,63.1,65.0,25747434
2020-10-12,65.0,65.3,63.65,64.0,10564969
2020-10-13,63.95,64.5,63.65,63.95,9070869
2020-10-14,63.35,63.65,61.65,62.0,24828155
2020-10-15,62.0,63.35,60.75,61.1,17334497
2020-10-16,61.65,62.5,61.05,62.25,18591533
2020-10-19,62.3,65.15,62.3,64.15,25987839
2020-10-20,64.3,64.5,62.25,62.35,18530440
2020-10-21,62.85,63.45,62.0,62.7,19590729
2020-10-22,62.35,63.95,62.25,63.7,26356513
2020-10-23,64.05,64.4,63.45,63.85,13180165
2020-10-26,64.3,64.3,62.6,63.05,14225064
2020-10-27,62.95,63.3,61.5,61.85,17088935
2020-10-28,62.25,62.35,61.15,61.35,15025734
2020-10-29,61.1,61.35,59.3,59.6,29901827
2020-10-30,60.15,60.95,59.4,60.05,25857851
2020-11-02,60.5,61.1,59.4,60.75,12847852
2020-11-03,61.05,61.75,60.75,61.3,10809489
2020-11-04,61.3,61.9,60.7,61.45,12479581
2020-11-05,61.9,62.95,61.25,62.55,17947631
2020-11-06,62.65,63.05,62.2,62.85,10496588
2020-11-09,63.5,63.5,62.7,63.3,8473527
2020-11-10,63.9,65.7,63.35,65.45,33795453
2020-11-11,66.1,67.25,65.25,66.9,23531793
2020-11-12,67.05,67.45,65.45,66.2,16446681
2020-11-13,65.9,67.05,64.75,66.7,16264536
2020-11-14,68.45,68.45,67.05,67.2,5387569
2020-11-17,67.25,67.8,65.7,66.0,18852045
2020-11-18,66.3,66.65,65.6,66.55,14032869
2020-11-19,66.15,68.65,66.1,66.7,27903903
2020-11-20,67.0,67.25,65.4,66.3,14790440
2020-11-23,66.6,72.0,66.4,70.75,44111534
2020-11-24,70.95,72.25,69.75,70.4,31379070
2020-11-25,71.4,75.65,71.35,74.7,87040163
2020-11-26,75.05,75.4,73.5,74.2,30469713
2020-11-27,74.7,75.05,72.2,72.6,44245938
2020-12-01,72.6,75.85,71.25,75.45,42923229
2020-12-02,75.4,78.65,74.85,78.55,52652362
2020-12-03,78.95,82.35,78.6,82.05,53618786
2020-12-04,83.0,84.2,80.65,83.1,44126894
2020-12-07,84.35,86.9,83.95,84.7,46638129
2020-12-08,86.05,86.5,83.3,83.95,34326971
2020-12-09,84.65,85.9,84.1,84.4,25763702
2020-12-10,84.2,85.25,82.05,84.75,25329334
2020-12-11,85.65,96.55,85.65,89.55,146821189
2020-12-14,90.85,94.85,90.15,93.9,75021883
2020-12-15,94.8,94.8,91.75,92.9,33553433
2020-12-16,94.3,95.85,93.05,95.15,34618175
2020-12-17,97.2,97.7,93.1,93.9,41881430
2020-12-18,93.9,94.65,90.8,91.55,36480527
2020-12-21,91.5,91.5,82.3,83.1,58724337
2020-12-22,82.4,85.35,80.15,83.75,58602960
2020-12-23,83.7,84.5,81.7,84.0,29216106
2020-12-24,85.55,88.35,85.2,86.2,46351620
2020-12-28,86.9,88.05,86.35,86.7,17759262
2020-12-29,87.1,87.55,85.1,86.2,17678810
2020-12-30,86.55,87.4,85.8,86.3,15960705
2020-12-31,86.35,88.4,85.6,86.1,43701316
2021-01-01,86.7,87.35,86.05,86.25,15130377
2021-01-04,86.95,90.0,86.7,89.7,39545073
2021-01-05,89.25,89.25,87.25,87.85,26998014
2021-01-06,91.5,91.85,89.0,89.7,50306161
2021-01-07,90.65,91.6,89.85,90.55,25285200
2021-01-08,91.5,93.7,91.15,93.05,36022114
2021-01-11,93.9,95.15,90.7,94.85,36301647
2021-01-12,94.4,96.65,93.15,95.7,28353142
2021-01-13,97.05,99.8,96.3,97.35,42401579
2021-01-14,98.95,99.4,96.4,97.15,24455634
2021-01-15,97.35,98.15,93.05,93.8,28185982
2021-01-18,93.8,94.25,88.8,89.4,33623461
2021-01-19,90.45,91.55,90.2,90.75,26085121
2021-01-20,91.55,92.35,90.55,91.45,18486566
2021-01-21,91.6,92.7,86.8,87.6,26939349
2021-01-22,87.5,88.35,85.55,85.8,27311961
2021-01-25,86.1,86.7,83.25,84.55,28522112
2021-01-27,84.6,84.85,82.25,82.95,34022621
2021-01-28,82.35,84.6,82.15,83.85,26810222
2021-01-29,83.95,86.0,81.15,81.7,33858273
