Date,Open,High,Low,Close,Volume
2020-04-01,73.3,75.35,70.25,71.1,6505012
2020-04-03,71.45,72.3,68.55,69.0,3943555
2020-04-07,71.2,72.3,69.2,71.5,4885786
2020-04-08,71.2,75.7,70.4,72.9,6132770
2020-04-09,73.2,74.3,71.3,72.55,5280434
2020-04-13,72.8,73.1,69.5,70.65,4316855
2020-04-15,70.8,73.45,69.35,70.75,9930674
2020-04-16,70.4,72.95,69.6,71.9,6243678
2020-04-17,73.5,78.25,72.9,74.9,14028536
2020-04-20,75.7,76.0,70.95,71.45,8452188
2020-04-21,70.35,71.1,69.1,69.95,4332130
2020-04-22,69.9,70.15,68.25,69.7,5905601
2020-04-23,70.4,74.0,70.1,73.45,6897488
2020-04-24,72.55,75.5,71.7,72.85,9985606
2020-04-27,73.2,74.1,72.15,73.5,4450320
2020-04-28,73.3,74.3,72.15,72.6,4802834
2020-04-29,73.6,77.9,73.1,75.9,16515965
2020-04-30,76.7,77.3,74.5,76.3,8754340
2020-05-04,74.55,74.55,72.1,73.05,4532360
2020-05-05,73.55,75.1,72.3,72.55,9370355
2020-05-06,72.55,73.1,70.7,71.9,7157601
2020-05-07,71.6,72.6,69.6,69.9,5791850
2020-05-08,70.45,71.1,66.7,67.25,9142379
2020-05-11,67.9,68.9,65.6,67.25,9589392
2020-05-12,66.6,66.9,65.3,66.15,5967021
2020-05-13,70.4,73.75,67.75,71.7,22942458
2020-05-14,72.0,74.15,68.25,68.65,16850114
2020-05-15,68.15,69.3,67.2,67.3,8302778
2020-05-18,67.3,67.75,64.25,65.0,7322285
2020-05-19,66.15,66.3,63.6,64.25,6274186
2020-05-20,64.55,65.3,63.85,64.8,6527759
2020-05-21,64.95,65.1,63.1,63.3,6758072
2020-05-22,62.4,62.75,59.75,59.9,12807022
2020-05-26,60.1,60.95,59.65,60.1,4742720
2020-05-27,60.7,61.7,59.3,61.5,11289289
2020-05-28,61.2,62.5,60.5,61.85,8117102
2020-05-29,61.2,63.5,59.5,60.15,33130508
2020-06-01,60.95,66.35,60.7,65.35,28629288
2020-06-02,66.0,67.35,65.1,66.0,10513230
2020-06-03,66.15,67.9,65.05,65.55,14909805
2020-06-04,65.8,66.6,64.35,64.6,6133828
2020-06-05,64.8,69.75,64.8,68.85,17661426
2020-06-08,70.2,71.55,67.95,68.5,13918285
2020-06-09,69.2,69.35,66.0,66.3,11587326
2020-06-10,66.7,68.65,65.25,68.3,12758304
2020-06-11,68.4,69.6,65.95,66.3,14394180
2020-06-12,64.0,67.2,63.5,66.9,13824858
2020-06-15,66.8,67.5,65.4,66.1,11479070
2020-06-16,67.15,69.3,65.35,66.25,15252538
2020-06-17,65.75,68.65,65.05,67.0,15890662
2020-06-18,66.7,68.7,66.1,68.5,12078451
2020-06-19,69.2,69.5,67.85,68.15,11273799
2020-06-22,68.8,73.05,68.3,72.5,26207219
2020-06-23,73.1,73.2,71.2,71.35,12371428
2020-06-24,72.0,73.55,69.6,70.35,13125878
2020-06-25,69.35,73.35,69.1,72.0,16951036
2020-06-26,72.95,73.3,71.3,72.1,6951469
2020-06-29,71.85,71.9,69.3,69.7,4544515
2020-06-30,70.15,70.8,66.3,67.2,13729680
2020-07-01,67.7,68.4,66.85,67.7,6568666
2020-07-02,68.55,68.7,67.5,68.0,5058904
2020-07-03,68.55,68.7,67.1,67.35,5710836
2020-07-06,67.65,70.8,67.45,70.15,23957791
2020-07-07,70.15,70.35,68.3,68.5,9385055
2020-07-08,68.8,69.35,67.45,67.6,11892395
2020-07-09,68.25,68.7,67.3,67.7,6162242
2020-07-10,67.7,67.9,66.15,66.9,7446559
2020-07-13,67.3,67.65,65.9,66.7,5787561
