Date,Open,High,Low,Close,Volume
2020-04-01,31.58,31.58,29.4,29.59,26646151
2020-04-03,29.64,29.84,28.43,28.82,20697301
2020-04-07,29.64,29.64,28.82,29.2,21962474
2020-04-08,29.06,30.71,28.57,29.64,29666254
2020-04-09,29.84,31.0,29.74,30.52,23014346
2020-04-13,30.86,30.86,29.45,30.47,16584316
2020-04-15,30.66,31.68,29.74,30.22,22095563
2020-04-16,30.22,30.61,29.69,30.18,19994398
2020-04-17,31.34,31.83,30.13,30.9,28208948
2020-04-20,31.2,32.95,30.52,31.92,41211953
2020-04-21,31.39,31.44,30.08,30.22,21858220
2020-04-22,30.13,30.37,29.35,30.22,18793922
2020-04-23,30.61,30.86,30.13,30.32,19393369
2020-04-24,29.84,30.22,29.3,29.35,14351047
2020-04-27,29.54,30.03,29.45,29.88,11950763
2020-04-28,29.93,30.47,29.84,30.37,11780170
2020-04-29,30.42,31.58,30.22,31.39,18719199
2020-04-30,31.78,32.75,31.2,31.39,31467001
2020-05-04,30.03,30.22,29.06,29.3,21841848
2020-05-05,29.64,29.88,28.23,28.38,19121806
2020-05-06,28.38,28.77,27.7,28.52,18005225
2020-05-07,28.33,29.4,28.09,28.86,14841128
2020-05-08,29.01,29.35,28.23,28.38,14358405
2020-05-11,28.57,28.67,27.89,27.99,16325208
2020-05-12,27.7,28.38,27.11,27.89,21778060
2020-05-13,29.45,30.13,28.62,29.74,38941649
2020-05-14,29.3,29.69,28.28,28.47,22669990
2020-05-15,28.47,28.77,27.79,27.99,18837162
2020-05-18,28.09,28.13,26.0,26.58,28520480
2020-05-19,26.82,26.97,25.75,25.85,25290958
2020-05-20,25.85,26.14,25.56,25.85,17212634
2020-05-21,25.85,26.87,25.56,26.24,26590285
2020-05-22,25.95,26.87,25.66,25.9,27657300
2020-05-26,26.05,26.29,25.71,25.95,17287019
2020-05-27,25.95,26.87,25.8,26.73,27038152
2020-05-28,26.82,27.11,25.85,26.0,41841614
2020-05-29,25.9,26.58,25.61,26.0,35144094
2020-06-01,26.63,29.25,26.24,28.38,72825432
2020-06-02,28.47,28.86,27.79,28.43,40252959
2020-06-03,28.96,30.71,28.77,29.4,86256504
2020-06-04,29.11,31.68,28.86,30.13,127140495
2020-06-05,30.61,33.14,30.52,32.8,96121246
2020-06-08,34.5,34.5,31.34,31.68,103769333
2020-06-09,32.07,32.56,30.61,30.9,63890506
2020-06-10,31.1,33.14,30.76,32.9,83661053
2020-06-11,33.53,34.21,31.63,31.88,97140495
2020-06-12,30.13,32.27,30.03,32.12,51628669
2020-06-15,32.07,33.19,31.15,32.7,50674765
2020-06-16,33.53,33.87,31.0,32.22,62033451
2020-06-17,31.97,32.95,31.58,32.22,48130067
2020-06-18,32.17,33.24,31.97,32.95,41943348
2020-06-19,33.53,33.67,32.95,33.53,47810394
2020-06-22,34.84,34.99,34.01,34.79,89827765
2020-06-23,34.99,36.83,34.89,36.4,83932724
2020-06-24,36.93,37.32,35.23,35.47,70621046
2020-06-25,35.28,36.54,34.55,36.06,57453358
2020-06-26,36.59,36.88,35.37,35.57,37646225
2020-06-29,35.18,35.37,34.16,34.35,29070144
2020-06-30,34.79,35.13,33.58,33.77,22906506
2020-07-01,34.01,35.52,33.53,35.37,39414255
2020-07-02,35.57,36.01,35.08,35.23,26984207
2020-07-03,35.47,35.52,34.79,34.94,19474835
2020-07-06,35.23,36.25,34.99,36.06,36393791
2020-07-07,36.25,36.3,35.08,35.76,33770528
2020-07-08,35.62,37.66,35.57,36.2,81536986
2020-07-09,36.74,36.93,35.81,36.06,38094386
2020-07-10,34.84,35.08,33.63,34.06,101790235
2020-07-13,34.4,34.45,33.33,33.58,28823774
2020-07-14,33.43,33.48,32.46,32.61,22089308
2020-07-15,32.75,33.19,31.83,32.07,22967686
2020-07-16,32.07,32.51,31.34,32.31,17806806
2020-07-17,32.51,32.85,32.27,32.65,15740496
2020-07-20,32.95,33.77,32.65,33.58,19422998
2020-07-21,33.97,34.21,33.33,33.77,25336349
2020-07-22,33.87,34.11,32.95,33.29,26175713
2020-07-23,33.14,33.72,33.09,33.33,18336453
2020-07-24,33.14,33.24,32.22,32.61,20995087
2020-07-27,32.7,32.7,31.34,31.39,22870440
2020-07-28,31.44,31.73,30.86,31.2,24367645
