Date,Open,High,Low,Close,Volume
2020-04-01,534.9,536.0,498.15,514.95,39901602
2020-04-03,540.7,540.7,503.4,513.5,39681176
2020-04-07,525.25,578.6,524.25,574.8,52159174
2020-04-08,562.4,585.75,552.85,568.2,47846788
2020-04-09,578.6,587.55,568.6,581.4,31686350
2020-04-13,573.8,579.1,562.4,566.75,22708504
2020-04-15,570.5,589.1,544.75,548.0,33881582
2020-04-16,548.0,565.95,545.7,556.7,35928528
2020-04-17,579.55,586.2,568.4,583.35,31912946
2020-04-20,584.3,599.1,572.9,592.8,34562196
2020-04-21,576.7,596.7,554.75,589.7,58870566
2020-04-22,629.1,660.05,619.6,649.9,136867200
2020-04-23,651.7,660.5,645.0,653.4,62795504
2020-04-24,643.5,712.5,642.1,675.35,129482588
2020-04-27,683.45,703.0,678.2,681.4,56098442
2020-04-28,691.1,693.7,663.5,680.65,75254698
2020-04-29,688.65,692.8,676.8,680.1,35966310
2020-04-30,692.95,712.5,685.4,698.7,68438750
2020-05-04,686.3,698.2,675.55,684.0,51278316
2020-05-05,692.8,704.9,689.7,696.15,43073248
2020-05-06,697.75,707.7,688.9,696.2,38838246
2020-05-07,693.45,721.4,688.7,718.2,47988950
2020-05-08,736.35,753.0,732.6,744.35,80827514
2020-05-11,753.0,769.7,749.35,751.5,64352518
2020-05-12,745.8,747.5,698.2,705.0,96578114
2020-05-13,727.8,727.8,693.0,713.2,64326600
2020-05-14,700.1,713.3,681.55,684.4,47706082
2020-05-15,688.2,699.0,674.4,695.55,60183462
2020-05-18,700.6,706.3,680.6,686.65,60809120
2020-05-19,694.4,696.65,668.8,671.5,40976122
2020-05-20,672.0,689.6,663.9,683.3,53568396
2020-05-21,683.9,696.5,679.15,686.9,37929500
2020-05-22,691.9,694.9,679.9,682.3,36631362
2020-05-26,690.2,690.9,675.0,678.7,32167008
2020-05-27,682.0,693.0,672.95,688.95,34537910
2020-05-28,693.45,705.25,690.6,701.7,38857020
2020-05-29,699.65,701.55,692.3,697.9,38757394
2020-06-01,705.4,733.2,703.45,724.6,38678282
2020-06-02,727.3,734.0,724.8,731.9,21452170
2020-06-03,736.35,743.5,730.8,734.75,24577568
2020-06-04,735.9,757.55,734.45,752.9,33119210
2020-06-05,760.2,771.15,750.0,753.85,32040366
2020-06-08,771.3,771.3,745.9,748.0,30419762
2020-06-09,743.65,754.45,730.6,732.6,25040024
2020-06-10,735.45,752.8,734.0,749.3,21431868
2020-06-11,746.35,747.3,729.7,732.9,19740422
2020-06-12,714.9,759.2,713.5,757.2,37328092
2020-06-15,745.9,775.4,744.0,769.5,51425026
2020-06-16,783.05,785.7,755.55,771.0,49566312
2020-06-17,766.5,779.45,763.55,769.9,40458504
2020-06-18,765.9,793.55,765.2,789.2,39189462
2020-06-19,795.9,852.55,792.1,838.5,102452502
2020-06-22,845.2,859.9,826.9,832.2,58291602
2020-06-23,834.05,840.6,817.9,820.2,36762904
2020-06-24,827.3,844.9,815.8,823.5,49954950
2020-06-25,823.1,833.6,816.45,818.75,38423644
2020-06-26,823.95,835.0,818.3,830.1,29942716
2020-06-29,823.6,829.2,817.6,821.25,24811432
2020-06-30,827.85,829.75,808.1,812.2,29318172
2020-07-01,819.75,833.6,814.05,828.15,27563384
2020-07-02,830.7,842.45,826.9,839.0,27878226
2020-07-03,848.25,854.55,842.6,852.1,28501902
2020-07-06,860.3,885.5,854.1,882.6,45526970
2020-07-07,886.5,888.55,860.9,869.05,34074918
2020-07-08,869.35,874.5,853.1,856.9,25374582
2020-07-09,862.2,874.55,851.3,869.4,35265226
2020-07-10,871.5,898.2,869.4,895.1,42374096
2020-07-13,907.1,928.3,905.55,922.2,67403282
2020-07-14,921.75,925.4,899.5,913.65,65198484
2020-07-15,923.6,943.1,856.9,878.85,135246772
2020-07-16,880.3,890.8,863.8,878.6,59030632
2020-07-17,879.3,915.1,876.0,911.1,48152622
2020-07-20,914.0,920.8,905.4,915.0,35433814
