Date,Open,High,Low,Close,Volume
2020-04-01,23.05,23.05,21.8,22.2,18438953
2020-04-03,22.25,22.6,21.5,21.65,15162888
2020-04-07,23.35,24.85,22.4,24.45,33936109
2020-04-08,24.0,27.55,23.7,25.35,53476363
2020-04-09,26.25,26.95,25.7,26.35,26855644
2020-04-13,26.15,26.75,25.1,26.3,24780282
2020-04-15,26.85,27.15,25.8,26.15,25214418
2020-04-16,25.9,27.05,25.55,26.85,19014842
2020-04-17,27.8,28.65,26.35,28.3,33557532
2020-04-20,29.0,29.0,27.8,27.95,18761443
2020-04-21,27.25,27.25,25.95,26.45,19026191
2020-04-22,26.35,26.5,25.4,26.35,19429716
2020-04-23,26.45,27.25,26.3,26.6,14851116
2020-04-24,26.0,27.35,25.8,26.9,15594342
2020-04-27,27.35,27.35,26.3,26.55,12314451
2020-04-28,26.8,27.6,26.3,27.4,11729167
2020-04-29,27.4,30.8,27.1,30.2,47374952
2020-04-30,30.6,32.25,30.6,31.85,35723601
2020-05-04,29.55,29.7,28.4,28.85,19496308
2020-05-05,29.6,29.7,28.2,28.4,19206562
2020-05-06,28.4,28.6,27.35,28.35,13068094
2020-05-07,28.0,28.95,27.9,28.4,10084843
2020-05-08,29.05,29.25,28.25,28.4,9909906
2020-05-11,28.55,28.95,28.25,28.4,9173149
2020-05-12,28.0,28.0,27.25,27.65,12003351
2020-05-13,29.45,29.45,28.3,28.75,18998641
2020-05-14,28.1,28.6,27.8,28.15,9714775
2020-05-15,28.25,30.2,27.35,29.35,46611542
2020-05-18,29.5,29.6,27.15,27.45,23059521
2020-05-19,27.8,28.25,26.75,27.0,30155259
2020-05-20,26.9,27.9,26.55,27.6,18263255
2020-05-21,27.6,28.55,27.45,28.1,27487243
2020-05-22,27.75,28.2,27.05,27.3,17373672
2020-05-26,27.5,28.6,27.5,28.3,27073395
2020-05-27,28.9,29.95,28.75,29.65,44969584
2020-05-28,29.95,30.8,29.7,30.2,28675466
2020-05-29,28.9,30.45,28.9,30.15,29732816
2020-06-01,30.7,31.65,30.3,30.5,29781118
2020-06-02,30.8,31.4,30.05,31.1,27935712
2020-06-03,31.5,32.0,30.75,30.95,21653448
2020-06-04,31.0,31.55,30.1,31.1,27576912
2020-06-05,31.5,33.8,31.3,33.4,59694645
2020-06-08,34.35,35.1,32.3,32.7,48035123
2020-06-09,33.1,34.0,31.85,32.15,32610889
2020-06-10,32.0,32.15,31.2,31.6,22450053
2020-06-11,31.6,32.05,29.8,30.0,25534263
2020-06-12,28.35,30.5,28.35,30.35,22376269
2020-06-15,29.95,30.25,28.95,29.3,19196161
2020-06-16,30.5,31.15,28.8,29.5,48607349
2020-06-17,29.3,29.8,28.65,28.75,21699932
2020-06-18,28.85,29.85,28.7,29.65,25099481
2020-06-19,30.0,30.55,30.0,30.15,22925898
2020-06-22,30.15,31.45,30.1,31.2,27149586
2020-06-23,31.45,33.05,31.35,32.5,43339729
2020-06-24,33.25,33.45,30.4,30.85,49844402
2020-06-25,30.8,31.65,30.5,30.85,32779460
2020-06-26,31.55,31.6,30.3,30.5,24735595
2020-06-29,30.65,30.7,29.2,29.55,21571371
2020-06-30,30.0,31.45,29.9,30.4,48613724
2020-07-01,30.6,30.7,30.0,30.35,22010171
2020-07-02,30.7,31.6,30.25,31.2,34003449
2020-07-03,32.4,32.4,30.6,30.85,38154944
2020-07-06,31.35,32.3,30.9,31.85,46788348
2020-07-07,32.2,33.1,32.05,32.45,57557211
2020-07-08,32.95,37.65,32.95,35.35,212561500
2020-07-09,36.0,37.45,36.0,36.7,70832368
2020-07-10,36.5,37.25,35.0,36.9,59744997
2020-07-13,38.7,38.7,35.5,35.75,92261841
2020-07-14,35.6,35.6,34.05,34.2,30597467
2020-07-15,34.6,35.0,33.1,33.3,24088599
2020-07-16,33.55,34.9,32.1,34.5,32958286
