Date,Open,High,Low,Close,Volume
2020-04-01,849.4,856.85,811.4,826.7,372052
2020-04-03,835.15,835.15,795.3,800.85,368129
2020-04-07,831.9,854.5,815.6,848.1,310105
2020-04-08,846.3,895.1,832.65,842.35,478674
2020-04-09,850.15,898.9,849.4,879.5,649421
2020-04-13,891.3,917.95,857.05,901.4,872441
2020-04-15,902.75,954.9,902.75,909.0,993472
2020-04-16,901.35,935.5,892.4,921.8,930985
2020-04-17,948.45,948.45,899.15,912.35,512109
2020-04-20,919.85,923.3,892.05,897.3,333555
2020-04-21,875.3,892.75,875.3,883.1,239155
2020-04-22,879.1,883.55,845.6,862.0,959938
2020-04-23,864.65,913.9,864.65,890.5,1371408
2020-04-24,882.95,917.0,864.65,872.95,1015631
2020-04-27,884.45,895.75,867.7,872.05,375067
2020-04-28,882.1,905.6,864.65,868.55,695422
2020-04-29,874.55,874.55,847.95,858.65,690075
2020-04-30,874.55,898.15,863.1,868.25,800647
2020-05-04,845.6,845.6,813.6,834.5,768398
2020-05-05,844.05,855.3,809.9,814.95,532280
2020-05-06,814.65,837.2,791.9,799.6,799253
2020-05-07,799.8,818.1,796.1,803.55,438320
2020-05-08,810.85,816.85,789.4,794.8,414181
2020-05-11,804.75,806.6,775.15,784.75,753915
2020-05-12,781.7,788.75,759.0,773.4,714925
2020-05-13,799.9,809.05,780.85,795.9,708850
2020-05-14,769.4,822.75,755.15,799.25,2234894
2020-05-15,800.95,829.95,792.3,824.7,1609732
2020-05-18,826.45,826.55,754.2,759.55,945777
2020-05-19,788.45,793.1,762.75,777.7,1515330
2020-05-20,777.45,792.25,765.2,779.15,701272
2020-05-21,780.85,789.6,769.9,778.35,845919
2020-05-22,774.75,786.05,762.85,773.25,695702
2020-05-26,777.05,791.5,773.25,778.5,643304
2020-05-27,780.85,782.65,769.8,776.1,659905
2020-05-28,780.7,818.85,777.85,816.25,1177729
2020-05-29,816.25,837.05,807.5,829.75,1694615
2020-06-01,841.8,873.8,839.3,857.4,957842
2020-06-02,858.7,869.2,840.1,845.35,704020
2020-06-03,857.05,873.0,847.1,859.5,1039628
2020-06-04,857.05,866.15,841.15,848.2,811131
2020-06-05,852.4,889.8,852.4,876.55,1719355
2020-06-08,891.0,894.9,856.55,861.55,934188
2020-06-09,864.65,874.9,850.9,855.3,460656
2020-06-10,851.7,860.05,832.45,839.55,517347
2020-06-11,841.5,848.55,811.45,814.35,565797
2020-06-12,781.25,821.85,781.1,814.1,476796
2020-06-15,811.1,822.75,791.5,799.0,542259
2020-06-16,813.6,813.6,776.4,786.7,894896
2020-06-17,783.9,793.7,777.8,782.8,638581
2020-06-18,781.55,803.55,779.75,794.7,641534
2020-06-19,796.1,818.65,796.1,812.75,987134
2020-06-22,812.85,837.9,812.85,825.7,673023
2020-06-23,841.8,849.2,826.55,838.95,638902
2020-06-24,849.4,862.35,828.9,833.65,889612
2020-06-25,834.15,858.15,825.5,845.65,837947
2020-06-26,860.05,860.05,844.1,850.45,758665
2020-06-29,849.35,850.15,832.4,837.35,379123
2020-06-30,840.85,858.55,832.65,835.45,722177
2020-07-01,835.45,844.9,824.6,834.15,629861
2020-07-02,841.35,849.05,827.8,833.85,665794
2020-07-03,839.5,878.9,835.25,875.45,2494407
2020-07-06,894.95,905.0,879.9,885.45,3952605
2020-07-07,893.5,898.9,882.2,893.35,1240929
2020-07-08,891.3,904.85,867.5,881.0,1256657
2020-07-09,888.25,890.95,868.9,871.95,795891
2020-07-10,876.05,882.15,861.25,866.8,610520
2020-07-13,871.05,875.9,854.5,871.25,796088
2020-07-14,870.75,887.5,857.05,861.45,1073973
2020-07-15,871.5,887.5,864.7,881.5,1319098
2020-07-16,884.45,892.85,867.75,883.9,785324
2020-07-17,883.9,889.0,864.65,882.9,941875
2020-07-20,887.05,904.85,883.85,898.95,1439652
2020-07-21,912.65,913.0,892.85,898.1,1266743
2020-07-22,898.1,903.75,881.65,895.05,733220
2020-07-23,895.05,900.0,885.2,889.1,519950
2020-07-24,887.35,897.4,874.55,884.55,775012
2020-07-27,880.75,883.55,851.75,865.85,1132773
2020-07-28,868.4,873.7,855.35,870.6,516873
2020-07-29,869.0,877.75,862.0,875.15,857743
2020-07-30,882.75,884.3,865.8,870.3,796270
2020-07-31,868.45,887.5,864.65,885.25,673871
2020-08-03,887.4,894.05,873.0,875.8,821357
2020-08-04,880.1,898.9,877.65,891.9,959849
2020-08-05,897.95,902.5,888.0,891.45,760475
2020-08-06,892.35,899.05,881.3,883.25,427428
2020-08-07,882.15,887.35,870.05,877.85,768163
2020-08-10,870.75,877.6,853.85,862.6,1165867
2020-08-11,866.95,893.6,858.6,882.4,1352374
2020-08-12,879.1,899.7,865.85,893.55,1063693
2020-08-13,899.7,901.95,883.7,897.55,1170859
2020-08-14,902.75,964.45,895.8,923.25,7139185
2020-08-17,932.2,949.2,922.9,936.2,1995407
2020-08-18,937.45,951.25,936.8,947.35,962909
2020-08-19,949.6,955.0,929.4,932.3,690397
2020-08-20,925.45,939.85,919.85,926.65,801064
2020-08-21,941.9,950.9,930.9,941.0,947089
2020-08-24,947.4,962.15,931.0,934.1,1165076
2020-08-25,937.8,945.15,930.15,937.15,483253
2020-08-26,938.55,944.6,932.15,938.9,560331
2020-08-27,945.4,948.45,923.5,925.6,766614
2020-08-28,927.05,942.35,927.05,930.25,693631
2020-08-31,933.2,936.95,873.85,883.55,1717774
2020-09-01,890.55,904.25,870.45,897.2,794257
2020-09-02,903.95,914.15,897.0,911.1,720913
2020-09-03,913.0,930.6,909.0,927.7,662772
2020-09-04,914.9,940.35,914.2,928.65,900401
2020-09-07,929.4,936.15,917.45,933.0,513325
2020-09-08,933.2,935.65,911.95,919.7,730143
2020-09-09,914.15,915.5,895.7,912.85,399262
2020-09-10,914.75,930.9,911.55,927.55,452374
2020-09-11,924.05,939.95,922.05,933.0,746344
2020-09-14,940.8,946.15,925.75,941.2,791071
2020-09-15,949.95,999.35,939.65,942.9,4392620
2020-09-16,948.3,965.35,935.3,956.5,998873
2020-09-17,952.15,959.55,942.75,956.1,518965
2020-09-18,957.95,965.2,943.4,957.45,727499
2020-09-21,957.95,959.8,935.5,947.35,696883
2020-09-22,946.9,950.55,911.7,926.85,596801
2020-09-23,929.65,951.85,929.4,937.45,1237874
2020-09-24,930.25,933.05,909.3,922.9,737251
2020-09-25,927.4,934.55,903.45,920.05,808149
2020-09-28,927.35,964.4,923.2,949.05,614137
2020-09-29,952.25,973.35,941.6,959.9,754433
2020-09-30,966.4,978.9,953.8,963.3,1225756
2020-10-01,969.15,972.8,956.15,960.8,381813
2020-10-05,966.55,981.2,960.7,973.9,742225
2020-10-06,980.45,987.3,965.8,972.25,573279
2020-10-07,978.15,978.15,959.85,971.65,443191
2020-10-08,975.1,989.6,966.25,985.8,819633
2020-10-09,984.3,989.05,970.15,978.2,928326
2020-10-12,976.3,981.4,956.65,959.55,452608
2020-10-13,963.15,963.15,930.3,938.75,613383
2020-10-14,934.75,943.55,926.25,940.65,523632
2020-10-15,940.9,950.5,933.8,943.2,689570
2020-10-16,951.5,966.55,934.25,964.0,1252666
2020-10-19,967.5,977.4,957.35,972.65,483450
2020-10-20,971.4,988.6,967.75,981.0,672651
2020-10-21,985.9,994.05,976.15,983.25,816899
2020-10-22,975.1,989.95,964.9,970.65,506977
2020-10-23,970.55,983.4,967.5,974.35,553493
2020-10-26,977.35,981.1,960.25,973.75,588555
2020-10-27,978.5,978.5,951.7,964.85,603870
2020-10-28,964.85,985.75,951.5,979.55,883700
2020-10-29,976.65,986.05,965.6,981.95,549620
2020-10-30,981.95,1000.95,957.6,965.75,1213654
2020-11-02,967.5,982.7,961.15,977.65,319963
2020-11-03,980.4,1004.8,977.75,995.2,549764
2020-11-04,1001.05,1019.0,992.4,1013.6,707752
2020-11-05,1021.55,1031.15,1007.85,1014.55,625040
2020-11-06,1013.2,1024.25,1005.6,1013.05,605084
2020-11-09,1011.65,1031.7,1010.85,1027.9,486293
2020-11-10,1035.15,1047.6,1028.95,1034.25,779320
2020-11-11,1036.9,1054.2,1030.9,1043.65,507440
2020-11-12,1044.4,1077.2,1041.75,1070.6,977537
2020-11-13,1061.2,1065.7,1033.2,1043.8,586075
2020-11-14,1051.2,1053.85,1036.9,1043.1,60299
2020-11-17,1051.3,1074.9,1040.3,1072.3,453780
2020-11-18,1071.85,1091.65,1056.0,1086.5,974862
2020-11-19,1086.15,1100.05,1074.45,1087.55,726895
2020-11-20,1087.6,1093.2,1078.3,1085.8,480055
2020-11-23,1091.15,1091.15,1060.45,1065.7,592514
2020-11-24,1065.7,1075.65,1054.95,1060.95,760718
2020-11-25,1062.7,1077.1,1034.5,1039.3,746473
2020-11-26,1070.35,1168.55,1063.6,1155.4,12590762
2020-11-27,1161.75,1169.2,1135.7,1152.95,3574724
2020-12-01,1143.4,1177.0,1135.2,1156.05,1314988
2020-12-02,1155.05,1157.75,1135.75,1147.95,633908
2020-12-03,1155.05,1180.7,1145.5,1168.8,1240569
2020-12-04,1171.65,1184.6,1151.85,1164.6,581129
2020-12-07,1164.4,1184.6,1158.7,1170.65,520837
2020-12-08,1170.65,1179.7,1158.75,1171.85,355195
2020-12-09,1175.55,1210.45,1173.2,1192.2,1720666
2020-12-10,1196.5,1197.15,1161.75,1170.9,407986
2020-12-11,1176.7,1179.05,1156.85,1169.95,523649
2020-12-14,1173.95,1184.6,1162.15,1176.55,392569
2020-12-15,1176.55,1185.9,1164.9,1170.45,794601
2020-12-16,1179.25,1180.5,1167.85,1174.65,214458
2020-12-17,1173.95,1190.7,1156.55,1162.75,762722
2020-12-18,1162.75,1186.1,1159.9,1172.4,542356
2020-12-21,1175.3,1195.25,1097.85,1124.85,1205174
2020-12-22,1123.3,1155.05,1098.0,1148.85,540643
2020-12-23,1152.6,1183.7,1141.95,1179.7,500581
2020-12-24,1177.0,1184.6,1156.4,1181.35,564904
2020-12-28,1182.7,1202.1,1173.3,1198.25,599649
2020-12-29,1198.25,1205.95,1184.85,1200.45,432311
2020-12-30,1201.5,1205.15,1188.8,1198.6,255676
2020-12-31,1196.05,1210.2,1186.85,1200.25,378782
2021-01-01,1200.25,1234.25,1197.1,1220.05,969652
2021-01-04,1222.6,1232.1,1207.7,1217.7,319086
2021-01-05,1211.85,1234.1,1207.45,1228.6,375723
2021-01-06,1232.35,1245.9,1220.5,1233.0,524439
2021-01-07,1236.4,1268.35,1236.2,1243.85,705739
2021-01-08,1248.9,1268.4,1244.0,1260.7,630244
2021-01-11,1260.7,1274.5,1247.0,1264.0,326474
2021-01-12,1261.55,1268.45,1248.8,1251.3,191646
2021-01-13,1250.9,1256.9,1237.1,1240.65,557764
2021-01-14,1234.9,1260.85,1225.35,1257.85,388566
2021-01-15,1260.65,1270.5,1226.55,1236.6,289828
2021-01-18,1237.95,1257.75,1209.5,1247.2,535324
2021-01-19,1247.05,1298.85,1241.85,1279.55,1466287
2021-01-20,1283.65,1292.8,1273.8,1281.55,426964
2021-01-21,1295.05,1320.1,1263.55,1271.65,900563
2021-01-22,1278.0,1289.3,1251.45,1267.5,282537
2021-01-25,1268.8,1301.9,1244.65,1273.3,511096
2021-01-27,1273.25,1273.25,1224.65,1235.8,430189
2021-01-28,1222.45,1253.1,1215.6,1246.4,243237
2021-01-29,1261.3,1261.3,1198.2,1208.55,518482
2021-02-01,1213.15,1295.05,1192.2,1284.6,469347
2021-02-02,1295.05,1394.1,1294.25,1385.6,1545506
2021-02-03,1372.75,1410.85,1357.6,1367.45,1124965
2021-02-04,1367.5,1430.65,1363.7,1408.8,1018585
2021-02-05,1409.35,1423.75,1381.15,1401.65,410735
2021-02-08,1399.85,1437.5,1395.65,1431.6,551370
2021-02-09,1431.6,1447.4,1404.0,1411.15,403662
2021-02-10,1413.1,1424.0,1394.1,1416.85,297451
2021-02-11,1415.75,1429.35,1401.7,1405.35,264240
2021-02-12,1409.35,1438.3,1386.5,1406.4,500142
2021-02-15,1415.8,1443.5,1390.3,1428.7,826440
2021-02-16,1427.0,1455.05,1382.65,1395.3,732268
2021-02-17,1391.8,1429.9,1386.5,1424.75,708352
2021-02-18,1431.4,1445.9,1403.85,1418.85,566889
2021-02-19,1408.2,1434.1,1394.2,1400.7,624987
2021-02-22,1398.65,1406.25,1369.55,1377.05,818820
2021-02-23,1378.1,1433.85,1378.1,1423.75,629405
2021-02-24,1424.55,1464.95,1413.15,1449.8,717920
2021-02-25,1467.25,1484.75,1450.75,1455.05,845143
2021-02-26,1445.9,1480.95,1397.3,1409.35,1178281
2021-03-01,1420.25,1466.45,1407.9,1453.6,509896
2021-03-02,1462.6,1481.7,1449.95,1477.65,479009
2021-03-03,1486.25,1493.15,1455.2,1460.0,396544
2021-03-04,1449.35,1494.65,1449.35,1478.75,477070
2021-03-05,1477.9,1486.25,1440.75,1448.65,306264
2021-03-08,1454.3,1466.45,1441.5,1447.85,214655
2021-03-09,1451.6,1463.9,1436.0,1448.4,178349
2021-03-10,1452.2,1464.2,1443.6,1451.3,215209
2021-03-12,1459.0,1499.05,1451.6,1462.05,964981
2021-03-15,1466.1,1466.1,1405.15,1423.5,358209
2021-03-16,1435.5,1438.95,1411.3,1434.8,480067
2021-03-17,1434.8,1439.8,1377.8,1387.05,384749
2021-03-18,1401.0,1405.4,1357.45,1364.55,805678
2021-03-19,1344.6,1410.1,1339.3,1403.85,559550
2021-03-22,1409.35,1425.2,1385.7,1400.8,601169
2021-03-23,1402.8,1429.9,1395.3,1411.55,363188
2021-03-24,1397.45,1417.85,1366.55,1375.15,640014
2021-03-25,1371.25,1384.05,1354.15,1373.15,568022
2021-03-26,1383.45,1394.1,1369.55,1378.65,276734
2021-03-30,1389.7,1416.7,1382.8,1396.15,301365
2021-03-31,1410.1,1416.95,1394.3,1404.75,221240
2021-04-01,1409.35,1422.1,1397.9,1415.6,163257
2021-04-05,1413.0,1419.25,1375.95,1389.85,198660
2021-04-06,1390.8,1400.95,1354.2,1360.55,517948
2021-04-07,1364.4,1376.05,1356.8,1364.25,305811
2021-04-08,1364.4,1414.3,1356.85,1402.65,474769
2021-04-09,1413.15,1456.55,1402.7,1408.55,1391415
2021-04-12,1378.15,1398.65,1308.6,1317.7,477264
2021-04-13,1318.7,1361.5,1311.05,1348.25,285542
2021-04-15,1340.75,1387.75,1312.2,1383.9,786832
2021-04-16,1383.1,1427.0,1375.95,1407.6,827342
