Date,Open,High,Low,Close,Volume
2020-04-01,560.15,563.55,524.0,531.0,1235255
2020-04-03,527.0,553.5,512.4,533.65,2056550
2020-04-07,549.6,585.4,540.4,577.15,1958060
2020-04-08,574.0,624.6,562.45,599.35,2556285
2020-04-09,609.6,655.6,606.2,647.55,2212320
2020-04-13,650.0,685.0,636.0,676.85,2133280
2020-04-15,688.8,696.0,650.4,667.45,1997550
2020-04-16,664.8,689.8,651.4,682.8,1910340
2020-04-17,700.0,701.95,668.05,681.4,1612790
2020-04-20,682.0,686.8,660.65,668.1,951945
2020-04-21,656.0,665.35,647.15,661.35,1044945
2020-04-22,660.0,692.95,657.05,688.55,1245330
2020-04-23,694.15,739.25,692.0,728.6,2578205
2020-04-24,720.4,732.15,694.0,697.6,1369535
2020-04-27,711.4,728.55,704.4,717.9,1480985
2020-04-28,729.0,752.0,719.8,737.0,3191840
2020-04-29,736.4,747.8,723.0,733.1,1284485
2020-04-30,737.35,754.4,737.35,743.75,1036960
2020-05-04,730.0,738.35,716.15,728.1,1148795
2020-05-05,731.6,745.8,725.1,730.0,1349130
2020-05-06,740.2,745.55,726.95,731.0,1094360
2020-05-07,730.0,737.8,708.6,718.7,2080785
2020-05-08,732.0,732.0,716.4,719.0,564800
2020-05-11,726.5,731.0,711.1,715.35,902505
2020-05-12,713.4,717.65,694.2,707.45,1335200
2020-05-13,728.0,744.0,718.65,721.15,1428245
2020-05-14,717.4,734.0,711.05,730.3,949995
2020-05-15,733.2,737.7,711.65,719.2,989120
2020-05-18,718.0,718.0,679.4,684.65,794370
2020-05-19,690.0,700.0,661.2,665.05,1338180
2020-05-20,667.0,681.85,665.1,676.0,963025
2020-05-21,677.0,691.2,669.1,674.1,816745
2020-05-22,672.0,686.0,664.8,676.0,797125
2020-05-26,680.0,696.25,673.6,690.5,750120
2020-05-27,692.0,692.0,680.2,685.25,501525
2020-05-28,685.05,692.0,674.0,681.9,670380
2020-05-29,679.0,708.8,675.0,697.45,1385525
2020-06-01,704.0,746.85,702.35,741.45,1569055
2020-06-02,741.55,751.75,730.0,735.95,736740
2020-06-03,740.0,747.75,721.15,730.25,1005330
2020-06-04,730.25,768.9,724.45,759.6,2949975
2020-06-05,758.0,758.0,727.4,730.05,3561850
2020-06-08,736.0,751.0,722.2,739.45,2357340
2020-06-09,738.4,744.75,726.05,730.95,1480340
2020-06-10,734.0,743.25,726.2,728.3,1066170
2020-06-11,729.8,747.4,718.4,725.15,2103870
2020-06-12,710.0,738.9,705.85,736.6,1162945
2020-06-15,739.8,744.9,720.0,723.05,1018165
2020-06-16,733.6,739.55,709.1,723.05,1782125
2020-06-17,723.0,734.65,713.3,724.25,1466840
2020-06-18,723.0,731.0,716.0,720.95,1221575
2020-06-19,723.0,732.0,719.55,722.85,1407100
2020-06-22,723.65,731.2,721.6,723.65,579025
2020-06-23,730.0,749.6,715.3,743.05,1646360
2020-06-24,747.6,751.45,716.4,720.25,1758545
2020-06-25,720.25,728.95,712.4,723.05,894980
2020-06-26,728.0,733.0,717.3,720.4,879855
2020-06-29,720.0,728.0,716.8,720.7,557050
2020-06-30,722.0,730.4,715.0,721.15,437740
2020-07-01,721.4,725.65,717.0,719.6,509875
2020-07-02,721.9,742.0,721.8,730.85,1760060
2020-07-03,731.05,737.05,726.0,728.7,316045
2020-07-06,731.0,776.0,731.0,770.05,4363085
2020-07-07,775.0,784.45,762.2,766.2,1391310
2020-07-08,774.0,808.7,772.0,780.1,4609340
2020-07-09,782.0,792.0,768.0,778.15,1093545
2020-07-10,768.0,792.4,768.0,778.95,1002105
2020-07-13,783.3,788.2,763.2,768.15,979295
2020-07-14,759.1,778.8,758.0,760.8,1040805
2020-07-15,766.0,771.6,752.4,758.7,735410
2020-07-16,760.0,767.0,752.3,762.9,603125
2020-07-17,764.0,774.5,758.8,762.65,717485
2020-07-20,767.8,782.85,763.45,769.85,996615
2020-07-21,775.0,779.25,754.4,761.25,606070
2020-07-22,766.8,774.0,754.0,762.6,858910
2020-07-23,764.4,776.8,760.1,768.25,1013335
2020-07-24,766.0,775.6,754.45,758.0,777535
2020-07-27,761.8,766.1,744.4,753.15,742270
2020-07-28,755.55,762.0,752.05,754.2,418915
2020-07-29,759.0,789.7,754.4,786.95,2059595
2020-07-30,794.8,806.0,745.4,752.05,4685995
2020-07-31,757.6,777.25,751.2,758.65,1667585
2020-08-03,757.0,775.75,757.0,766.7,1143300
2020-08-04,770.0,778.0,759.35,762.3,685185
2020-08-05,763.8,780.35,763.0,763.85,1317585
2020-08-06,769.9,772.0,758.15,766.2,1015845
2020-08-07,768.0,824.6,766.1,816.25,5055645
2020-08-10,824.0,855.35,812.7,844.3,4174425
2020-08-11,844.8,861.6,830.0,831.9,2731695
2020-08-12,828.0,847.6,819.05,829.7,1510365
2020-08-13,834.2,847.0,829.0,841.2,1640720
2020-08-14,845.0,854.6,827.0,834.9,1611765
2020-08-17,837.8,843.0,824.4,828.45,859380
2020-08-18,828.2,866.25,824.0,856.45,2425695
2020-08-19,859.0,871.8,854.5,859.0,1755740
2020-08-20,855.0,870.0,845.15,850.45,1412790
2020-08-21,855.0,877.8,853.45,857.3,1955600
2020-08-24,860.1,887.85,860.1,866.65,2478870
2020-08-25,871.6,882.0,852.4,855.25,1516520
2020-08-26,859.6,865.8,842.1,851.35,929885
2020-08-27,856.0,864.8,845.4,847.65,1046260
2020-08-28,852.0,855.2,842.0,845.2,734535
2020-08-31,846.8,854.2,802.75,810.8,1207345
2020-09-01,813.0,830.4,807.2,822.55,1005780
2020-09-02,828.0,858.4,824.3,843.65,1367710
2020-09-03,848.6,868.0,842.8,864.8,1394670
2020-09-04,849.75,874.95,833.4,840.4,1850525
2020-09-07,840.6,856.35,830.1,839.35,1129155
2020-09-08,840.0,845.5,821.05,826.4,911040
2020-09-09,821.6,827.6,807.0,824.7,1032205
2020-09-10,832.0,844.0,818.6,823.6,874535
2020-09-11,828.15,843.8,823.0,841.2,1046340
2020-09-14,846.9,874.0,844.6,866.05,1903120
2020-09-15,876.8,876.8,855.6,863.3,1113450
2020-09-16,869.6,876.8,864.05,869.35,891450
2020-09-17,864.0,895.0,862.2,878.55,2428615
2020-09-18,884.8,888.7,857.5,863.6,2439125
2020-09-21,864.05,870.25,826.65,831.9,839845
2020-09-22,830.1,836.95,801.2,825.3,1093045
2020-09-23,827.2,836.75,808.8,823.4,588880
2020-09-24,819.6,820.2,798.7,801.15,914865
2020-09-25,806.4,822.4,805.2,816.85,616350
2020-09-28,827.7,841.55,820.85,833.85,687380
