Date,Open,High,Low,Close,Volume
2020-04-01,522.5,522.7,473.4,474.5,4114437
2020-04-03,477.0,496.1,473.4,484.1,5826215
2020-04-07,499.4,520.1,498.6,512.5,3532484
2020-04-08,502.8,532.1,499.9,521.4,4113059
2020-04-09,532.3,544.7,500.4,508.0,5917546
2020-04-13,513.6,513.6,484.9,489.9,3822647
2020-04-15,491.0,511.3,491.0,501.5,6316300
2020-04-16,490.0,493.0,471.7,480.9,7001494
2020-04-17,492.1,495.0,463.5,473.2,10839905
2020-04-20,481.2,494.9,475.3,487.9,4549099
2020-04-21,474.3,483.2,469.3,476.2,2950307
2020-04-22,475.3,485.0,470.5,481.5,2268503
2020-04-23,482.2,490.9,472.7,486.8,6096448
2020-04-24,485.1,495.5,465.6,466.9,4817932
2020-04-27,475.0,482.2,469.9,475.0,4032708
2020-04-28,481.2,491.5,478.8,483.6,4972775
2020-04-29,489.0,499.8,485.2,491.7,6362006
2020-04-30,503.8,515.5,495.3,509.0,8932244
2020-05-04,478.3,482.9,461.6,465.9,14814583
2020-05-05,469.4,477.3,461.8,463.5,5717728
2020-05-06,467.2,472.5,453.7,470.3,3781586
2020-05-07,471.4,488.9,469.8,479.6,6799899
2020-05-08,489.9,501.4,482.4,499.1,6016245
2020-05-11,504.3,506.5,490.2,493.2,4272574
2020-05-12,488.1,502.3,488.1,496.2,5692069
2020-05-13,504.8,512.4,494.4,507.5,3296409
2020-05-14,495.3,497.9,477.2,478.9,6148509
2020-05-15,483.2,483.2,470.8,473.9,3628560
2020-05-18,474.8,478.3,465.0,467.5,3283983
2020-05-19,473.4,482.9,466.8,475.9,3041594
2020-05-20,478.3,487.9,474.0,482.4,2772990
2020-05-21,483.1,484.6,473.4,483.2,2540109
2020-05-22,480.3,494.0,478.4,492.6,4254552
2020-05-26,495.9,503.5,482.0,483.6,2719798
2020-05-27,484.8,489.1,475.4,486.9,2265985
2020-05-28,491.0,494.8,480.4,492.7,3387687
2020-05-29,492.9,498.5,487.5,493.4,4081553
2020-06-01,501.3,517.3,499.9,506.3,4914055
2020-06-02,506.3,511.0,500.8,510.2,3879118
2020-06-03,516.6,527.9,512.6,515.8,4942025
2020-06-04,519.5,547.0,518.2,544.2,10915377
2020-06-05,550.0,555.4,537.2,541.9,6207097
2020-06-08,547.8,561.2,542.2,551.9,4791171
2020-06-09,555.8,567.0,547.0,548.2,5665593
2020-06-10,553.4,558.7,544.5,552.4,3439145
2020-06-11,552.9,552.9,527.1,534.1,3378491
2020-06-12,512.6,524.3,512.6,517.2,3603893
2020-06-15,519.5,522.9,506.2,511.5,3944764
2020-06-16,519.5,519.5,494.1,496.2,4262601
2020-06-17,494.0,507.7,491.4,498.4,6139354
2020-06-18,498.0,502.8,494.0,498.8,2658699
