Date,Open,High,Low,Close,Volume
2020-04-01,929.7,950.0,902.0,936.05,2935941
2020-04-03,930.0,930.05,855.95,862.8,4951957
2020-04-07,900.1,954.95,892.3,947.45,4186589
2020-04-08,935.0,966.4,893.4,913.45,5506041
2020-04-09,931.65,1044.0,917.35,1013.85,8532888
2020-04-13,1014.5,1014.5,943.2,966.85,4399276
2020-04-15,990.0,990.0,937.2,952.05,5502744
2020-04-16,929.0,999.0,915.0,985.25,6251881
2020-04-17,1001.1,1017.7,956.3,975.5,5761685
2020-04-20,975.5,982.2,957.0,975.5,2557331
2020-04-21,958.0,962.2,932.45,936.7,3717573
2020-04-22,936.7,955.25,922.55,951.4,2779272
2020-04-23,922.25,935.5,905.0,912.6,7009198
2020-04-24,910.0,926.9,893.1,906.05,4693092
2020-04-27,914.2,938.0,912.05,927.75,3816089
2020-04-28,930.35,940.0,917.0,932.85,2548183
2020-04-29,932.0,933.6,918.0,925.4,2514936
2020-04-30,935.2,978.95,929.0,970.05,4336428
2020-05-04,928.5,929.0,886.0,891.85,4201102
2020-05-05,905.0,908.85,877.0,886.95,5214901
2020-05-06,887.0,891.95,861.25,876.45,3713855
2020-05-07,878.5,878.5,846.4,849.1,4744736
2020-05-08,857.0,862.5,830.3,832.85,4751920
2020-05-11,848.45,851.4,824.0,829.6,3704305
2020-05-12,827.0,851.0,822.25,846.45,5287713
2020-05-13,874.95,883.95,856.0,860.45,3599379
2020-05-14,855.0,856.0,841.25,846.0,2161537
2020-05-15,846.0,859.8,842.0,845.6,2131038
2020-05-18,841.5,845.0,810.0,817.3,4634794
2020-05-19,827.3,844.15,818.15,826.8,3072505
2020-05-20,824.0,854.0,818.6,848.7,3403474
2020-05-21,854.0,860.0,843.9,849.85,2217566
2020-05-22,844.9,855.95,837.9,849.65,1955678
2020-05-26,856.0,896.95,855.15,892.75,5625238
2020-05-27,884.9,890.75,868.5,885.85,3925289
2020-05-28,885.85,904.1,875.0,899.45,3441163
2020-05-29,895.45,898.0,875.0,890.0,4140190
2020-06-01,898.5,979.0,898.5,958.9,9822939
2020-06-02,958.9,984.0,946.35,976.15,4518777
2020-06-03,989.0,1005.0,979.7,984.35,4194259
2020-06-04,970.1,977.45,942.35,971.25,5293712
2020-06-05,977.0,995.0,967.0,990.95,3136141
2020-06-08,1009.0,1050.0,1006.05,1025.0,7033697
2020-06-09,1037.0,1047.0,989.25,997.1,17284462
2020-06-10,997.1,1008.95,970.85,977.25,5972031
2020-06-11,976.0,976.0,949.1,951.25,4955843
2020-06-12,910.05,984.8,901.0,977.7,6968388
2020-06-15,979.95,986.55,945.0,948.4,3823675
2020-06-16,965.0,970.0,933.65,958.05,2976380
2020-06-17,955.0,972.85,945.75,963.0,2373042
2020-06-18,958.1,980.5,953.65,976.0,2118941
2020-06-19,980.0,994.95,973.0,975.85,2817654
2020-06-22,979.0,988.0,968.55,979.5,1840327
2020-06-23,981.5,1008.0,981.5,999.25,2929967
2020-06-24,1010.0,1026.0,985.15,988.2,3451727
2020-06-25,985.0,994.0,973.55,977.6,2214885
2020-06-26,988.0,989.9,961.9,966.2,2514115
2020-06-29,964.9,971.6,935.0,957.45,3422997
2020-06-30,965.0,971.95,946.4,949.85,1947535
2020-07-01,950.0,968.5,945.0,948.2,3043356
2020-07-02,956.95,994.0,953.1,986.4,3845200
2020-07-03,992.0,1008.0,986.3,1003.5,3073826
2020-07-06,1007.0,1019.8,995.65,1014.2,2509472
2020-07-07,1015.0,1029.0,1007.0,1016.25,3538559
2020-07-08,1026.0,1029.0,987.05,991.15,4272857
2020-07-09,995.0,1002.5,978.35,991.6,3585898
2020-07-10,985.05,987.0,957.4,961.85,3691698
2020-07-13,973.95,973.95,959.0,966.35,2760626
2020-07-14,960.0,977.9,955.0,973.8,3642982
2020-07-15,979.0,985.8,963.4,967.95,2366688
2020-07-16,968.5,972.95,941.8,961.35,2914312
2020-07-17,960.0,1000.0,956.45,997.85,3843669
2020-07-20,1000.0,1012.5,986.0,1001.7,3349881
2020-07-21,1004.0,1017.4,999.25,1015.15,2491482
2020-07-22,1020.25,1065.95,1015.6,1057.7,7642563
2020-07-23,1067.95,1083.0,1051.1,1070.2,6785686
2020-07-24,1064.8,1066.0,1032.7,1057.6,4407076
2020-07-27,1057.0,1072.5,1039.35,1042.1,2783448
2020-07-28,1045.0,1054.95,1028.55,1052.7,3130786
2020-07-29,1056.8,1066.75,1036.2,1040.45,2332468
2020-07-30,1042.0,1057.7,1039.95,1041.85,2297979
2020-07-31,1045.5,1051.1,1032.7,1043.25,1786574
2020-08-03,1047.0,1094.65,1043.0,1077.35,7646653
2020-08-04,1088.95,1089.2,1065.25,1075.2,3357492
2020-08-05,1083.0,1114.45,1078.0,1105.45,5465903
2020-08-06,1105.45,1125.0,1091.25,1120.15,4499103
2020-08-07,1114.95,1131.4,1086.05,1091.05,4553674
2020-08-10,1093.0,1114.6,1084.0,1107.55,5186001
2020-08-11,1074.0,1087.7,1048.6,1066.25,11189335
2020-08-12,1068.0,1076.9,1048.55,1056.35,6260237
2020-08-13,1064.05,1103.15,1062.0,1097.65,5476731
2020-08-14,1097.65,1119.0,1090.05,1104.15,4149226
2020-08-17,1113.0,1126.2,1106.0,1123.85,3033449
2020-08-18,1128.95,1151.8,1125.1,1145.55,4134683
2020-08-19,1158.85,1159.0,1145.0,1148.4,2570066
2020-08-20,1130.05,1138.4,1118.8,1125.7,2727310
2020-08-21,1137.7,1143.8,1129.1,1138.1,2181343
2020-08-24,1140.0,1146.75,1124.0,1126.65,2122417
2020-08-25,1131.0,1139.0,1122.9,1136.5,1465877
2020-08-26,1139.7,1150.0,1127.15,1134.2,2009966
2020-08-27,1140.0,1148.5,1127.0,1137.65,1459161
2020-08-28,1148.25,1148.25,1131.6,1134.1,1628959
2020-08-31,1131.0,1153.0,1086.0,1100.5,3373649
2020-09-01,1105.0,1129.65,1095.65,1120.05,2043957
2020-09-02,1116.95,1124.65,1102.6,1121.3,1919880
2020-09-03,1121.3,1191.6,1121.3,1185.3,5945368
2020-09-04,1161.6,1198.05,1155.0,1159.25,3490982
2020-09-07,1164.0,1176.45,1149.3,1167.7,2166347
2020-09-08,1167.7,1174.1,1154.6,1162.55,1994073
2020-09-09,1156.9,1171.8,1148.3,1161.1,1918428
2020-09-10,1165.0,1165.85,1138.75,1155.25,1841230
2020-09-11,1156.0,1194.0,1155.0,1167.75,5572098
2020-09-14,1168.5,1191.6,1167.95,1188.0,2019325
2020-09-15,1194.8,1220.0,1170.15,1174.55,5204283
2020-09-16,1180.0,1189.0,1164.7,1181.7,2463735
2020-09-17,1174.95,1191.55,1168.05,1182.4,2019300
2020-09-18,1185.0,1201.5,1157.35,1163.6,2575064
2020-09-21,1163.6,1171.8,1115.05,1119.9,2666123
2020-09-22,1120.0,1127.5,1093.15,1104.45,2000953
2020-09-23,1107.5,1121.95,1103.0,1117.2,2068202
2020-09-24,1113.0,1113.9,1076.0,1096.15,2356300
2020-09-25,1097.55,1115.0,1081.25,1109.35,2275745
2020-09-28,1119.0,1143.95,1108.35,1138.75,2509616
2020-09-29,1145.0,1174.15,1139.35,1167.3,3586548
2020-09-30,1173.0,1205.0,1163.25,1201.35,3635997
2020-10-01,1203.6,1211.0,1182.0,1198.65,2990243
2020-10-05,1201.0,1216.0,1188.7,1194.35,2151235
2020-10-06,1204.0,1215.95,1192.0,1199.95,2087273
2020-10-07,1205.0,1268.0,1200.45,1254.0,9411160
2020-10-08,1257.0,1262.55,1233.6,1254.15,3144920
2020-10-09,1254.15,1269.0,1247.5,1255.2,1873196
2020-10-12,1260.2,1261.35,1236.0,1256.75,2009418
2020-10-13,1257.55,1281.9,1223.65,1228.85,4735316
2020-10-14,1224.35,1248.95,1218.55,1223.45,4096716
2020-10-15,1222.9,1237.55,1210.0,1213.6,2727329
2020-10-16,1216.05,1240.05,1216.0,1223.15,2772602
2020-10-19,1225.1,1234.6,1213.1,1228.8,1606979
2020-10-20,1230.0,1245.55,1217.1,1233.5,2841242
2020-10-21,1241.0,1256.55,1229.0,1244.7,2687528
2020-10-22,1240.15,1253.0,1220.0,1229.45,1973527
2020-10-23,1235.0,1247.8,1231.2,1241.7,1527141
2020-10-26,1250.0,1250.0,1210.5,1215.5,1425518
2020-10-27,1219.0,1237.0,1213.55,1231.8,1778358
2020-10-28,1231.8,1241.0,1185.35,1217.0,4810354
2020-10-29,1201.0,1201.0,1155.55,1178.2,5274145
2020-10-30,1176.4,1187.8,1159.1,1165.75,2275595
2020-11-02,1167.5,1182.0,1154.0,1168.5,2502801
2020-11-03,1178.0,1205.3,1174.8,1199.95,2079628
2020-11-04,1199.95,1217.9,1192.7,1215.65,2043263
2020-11-05,1224.15,1253.85,1210.25,1242.1,2215527
2020-11-06,1242.1,1265.85,1239.0,1253.5,2546487
2020-11-09,1265.4,1287.7,1252.45,1285.05,1840061
2020-11-10,1286.0,1312.0,1274.35,1305.4,2898878
2020-11-11,1309.9,1318.7,1263.7,1274.7,2872916
2020-11-12,1286.95,1296.0,1267.0,1278.1,3650248
2020-11-13,1297.0,1304.0,1278.45,1288.45,3107920
2020-11-14,1295.0,1297.9,1279.1,1286.8,288198
2020-11-17,1297.0,1304.8,1277.3,1301.95,2185705
2020-11-18,1301.95,1303.0,1267.0,1280.1,2934467
2020-11-19,1278.55,1345.6,1270.05,1292.45,6942825
2020-11-20,1295.95,1371.3,1295.6,1365.15,10421957
2020-11-23,1375.0,1375.0,1332.0,1347.6,2995116
2020-11-24,1347.6,1364.45,1323.25,1327.15,2876893
2020-11-25,1331.0,1345.0,1300.35,1306.95,3417818
2020-11-26,1316.95,1333.0,1308.15,1327.4,2819881
